URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
affordabledentures.com/office/pell-city/,301,2,http://affordabledentures.com/office/pell-city/ | http://www.affordabledentures.com/office/pell-city/ | ,https://www.affordabledentures.com/office/pell-city/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/tucson/,301,2,http://affordabledentures.com/office/tucson/ | http://www.affordabledentures.com/office/tucson/ | ,https://www.affordabledentures.com/office/tucson/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/kalamazoo/,301,2,http://affordabledentures.com/office/kalamazoo/ | http://www.affordabledentures.com/office/kalamazoo/ | ,https://www.affordabledentures.com/office/kalamazoo/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/northglenn/,301,2,http://affordabledentures.com/office/northglenn/ | http://www.affordabledentures.com/office/northglenn/ | ,https://www.affordabledentures.com/office/northglenn/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/tallahassee/,301,2,http://affordabledentures.com/office/tallahassee/ | http://www.affordabledentures.com/office/tallahassee/ | ,https://www.affordabledentures.com/office/tallahassee/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/cape-girardeau/,301,2,http://affordabledentures.com/office/cape-girardeau/ | http://www.affordabledentures.com/office/cape-girardeau/ | ,https://www.affordabledentures.com/office/cape-girardeau/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/peoria/,301,2,http://affordabledentures.com/office/peoria/ | http://www.affordabledentures.com/office/peoria/ | ,https://www.affordabledentures.com/office/peoria/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/omaha-bellevue1/,301,2,http://affordabledentures.com/office/omaha-bellevue1/ | http://www.affordabledentures.com/office/omaha-bellevue1/ | ,https://www.affordabledentures.com/office/omaha-bellevue1/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/rockford/,301,2,http://affordabledentures.com/office/rockford/ | http://www.affordabledentures.com/office/rockford/ | ,https://www.affordabledentures.com/office/rockford/,200,209.17.116.160,ns39.domaincontrol.com.,
affordabledentures.com/office/st-clairsville/,301,2,http://affordabledentures.com/office/st-clairsville/ | http://www.affordabledentures.com/office/st-clairsville/ | ,https://www.affordabledentures.com/office/st-clairsville/,200,209.17.116.160,ns39.domaincontrol.com.,
