ClientID,ClientName,URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
86977,Cummings Inc.,cummingsheatingandcooling.info,301,3,http://cummingsheatingandcooling.info/ | https://cummingsheatingandcooling.info/ | http://www.cummingsheatingandcooling.info/ | ,https://www.cummingsheatingandcooling.info/,200,209.17.116.160,ns3b.dns-host.com.,
88114,B Carlson Heating AC and Plumbing,bcarlsoncoleman.com,301,3,http://bcarlsoncoleman.com/ | https://bcarlsoncoleman.com/ | http://www.bcarlsoncoleman.com/ | ,https://www.bcarlsoncoleman.com/,200,209.17.116.160,ns3a.dns-host.com.,
88781,River Valley Heating And Cooling,sherwoodhvacservice.com,301,3,http://sherwoodhvacservice.com/ | https://sherwoodhvacservice.com/ | http://www.sherwoodhvacservice.com/ | ,https://www.sherwoodhvacservice.com/,200,209.17.116.160,ns3a.dns-host.com.,
89042,Jim Watts Heating And Cooling Inc.,jimwattsheatingandcooling.net,301,3,http://jimwattsheatingandcooling.net/ | https://jimwattsheatingandcooling.net/ | http://www.jimwattsheatingandcooling.net/ | ,https://www.jimwattsheatingandcooling.net/,200,209.17.116.160,ns3b.dns-host.com.,
89081,Robbins Heating And Air Conditioning Inc,robbins-coleman.com,301,3,http://robbins-coleman.com/ | https://robbins-coleman.com/ | http://www.robbins-coleman.com/ | ,https://www.robbins-coleman.com/,200,209.17.116.160,ns3b.dns-host.com.,
89132,Wilson Heating Inc.,wilsonheatinginc.com,301,2,http://wilsonheatinginc.com/ | http://www.wilsonheatinginc.com/ | ,https://www.wilsonheatinginc.com/,200,208.43.88.227,dns2.name-services.com.,
89247,Hertless Air Conditioning And Heating Mechanical,richmondhvacservice.net,301,3,http://richmondhvacservice.net/ | https://richmondhvacservice.net/ | http://www.richmondhvacservice.net/ | ,https://www.richmondhvacservice.net/,200,209.17.116.160,ns3a.dns-host.com.,
89354,Caraballo Heating and Air Conditioning,clevelandhvacservice.com,301,1,http://clevelandhvacservice.com/ | ,https://clevelandhvacservice.com/,200,209.17.116.160,ns3b.dns-host.com.,
89715,Weavers Heat and Air Inc,weavershvac.com,301,3,http://weavershvac.com/ | https://weavershvac.com/ | http://www.weavershvac.com/ | ,https://www.weavershvac.com/,200,209.17.116.160,ns3b.dns-host.com.,
89736,A & E HVAC Solutions,aehvacsolutions.info,301,1,http://aehvacsolutions.info/ | ,https://aehvacsolutions.info/,200,209.17.116.160,ns3a.dns-host.com.,
90242,G + S Heating Air Energy Services,kannapolishvacservice.com,301,3,http://kannapolishvacservice.com/ | https://kannapolishvacservice.com/ | http://www.kannapolishvacservice.com/ | ,https://www.kannapolishvacservice.com/,200,209.17.116.160,ns3a.dns-host.com.,
90331,Tempco Heating & Cooling Specialists,tempcohvac.com,301,1,http://tempcohvac.com/ | ,http://www.tempcohvac.com/,200,205.178.153.7,ns2.meganameservers.com.,
90402,Tradesman Heating and Air,hvacservicewinnipeg.com,301,1,http://hvacservicewinnipeg.com/ | ,https://hvacservicewinnipeg.com/,200,209.17.116.160,ns3a.dns-host.com.,
90459,Santiam Heating And Sheetmetal Inc,santiamheatingsheetmetal.com,301,3,http://santiamheatingsheetmetal.com/ | https://santiamheatingsheetmetal.com/ | http://www.santiamheatingsheetmetal.com/ | ,https://www.santiamheatingsheetmetal.com/,200,209.17.116.160,ns3a.dns-host.com.,
90473,B And B Heating And Air Inc,bentonvillehvacservice.com,301,3,http://bentonvillehvacservice.com/ | https://bentonvillehvacservice.com/ | http://www.bentonvillehvacservice.com/ | ,https://www.bentonvillehvacservice.com/,200,209.17.116.160,ns3b.dns-host.com.,
90888,JN Electrical Temperature Control Inc.,jncomfort.net,301,3,http://jncomfort.net/ | https://jncomfort.net/ | http://www.jncomfort.net/ | ,https://www.jncomfort.net/,200,209.17.116.160,ns3a.dns-host.com.,
91005,VanBeek Heating And Cooling,vanbeekhtg.com,301,3,http://vanbeekhtg.com/ | https://vanbeekhtg.com/ | http://www.vanbeekhtg.com/ | ,https://www.vanbeekhtg.com/,200,209.17.116.160,ns3a.dns-host.com.,
91286,Global Comfort Service,globalcomfortservices.com,301,3,http://globalcomfortservices.com/ | https://globalcomfortservices.com/ | http://www.globalcomfortservices.com/ | ,https://www.globalcomfortservices.com/,200,209.17.116.160,ns3a.dns-host.com.,
91402,Blazer Heat And Air Conditioning,midlothianhvacservice.com,301,3,http://midlothianhvacservice.com/ | https://midlothianhvacservice.com/ | http://www.midlothianhvacservice.com/ | ,https://www.midlothianhvacservice.com/,200,209.17.116.160,ns3a.dns-host.com.,
91419,Dales Heating And Air Inc.,dalesheatandair.com,301,3,http://dalesheatandair.com/ | https://dalesheatandair.com/ | http://www.dalesheatandair.com/ | ,https://www.dalesheatandair.com/,200,209.17.116.160,ns3a.dns-host.com.,
91821,Temprite,tempritecoleman.com,301,3,http://tempritecoleman.com/ | https://tempritecoleman.com/ | http://www.tempritecoleman.com/ | ,https://www.tempritecoleman.com/,200,209.17.116.160,ns3a.dns-host.com.,
91888,Air Temp Heating And Cooling Specialist,airtempspecialists.com,301,3,http://airtempspecialists.com/ | https://airtempspecialists.com/ | http://www.airtempspecialists.com/ | ,https://www.airtempspecialists.com/,200,209.17.116.160,ns3a.dns-host.com.,
