ClientID,ClientName,URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
199634,BrightStar Pittsburgh Metropage,brightstar-pittsburgh.com,301,3,http://brightstar-pittsburgh.com/ | https://brightstar-pittsburgh.com/ | http://www.brightstar-pittsburgh.com/ | ,https://www.brightstar-pittsburgh.com/,200,209.17.116.160,ns3a.dns-host.com.,
331335,Insty-Prints Lansing - Washington,instyprints.com/locations/lansing-mi-washington/,301,3,http://instyprints.com/locations/lansing-mi-washington/ | https://instyprints.com/locations/lansing-mi-washington/ | http://www.instyprints.com/locations/lansing-mi-washington/ | ,https://www.instyprints.com/locations/lansing-mi-washington/,200,209.17.116.160,pdns07.domaincontrol.com.,
331351,Insty-Prints Butte,instyprints.com/locations/butte-mt/,301,3,http://instyprints.com/locations/butte-mt/ | https://instyprints.com/locations/butte-mt/ | http://www.instyprints.com/locations/butte-mt/ | ,https://www.instyprints.com/locations/butte-mt/,200,209.17.116.160,pdns07.domaincontrol.com.,
331354,Insty-Prints Lansing - West Saginaw,instyprints.com/locations/lansing-mi-west/,301,3,http://instyprints.com/locations/lansing-mi-west/ | https://instyprints.com/locations/lansing-mi-west/ | http://www.instyprints.com/locations/lansing-mi-west/ | ,https://www.instyprints.com/locations/lansing-mi-west/,200,209.17.116.160,pdns07.domaincontrol.com.,
331355,Insty-Prints Monona,instyprints.com/locations/monona-wi/,301,3,http://instyprints.com/locations/monona-wi/ | https://instyprints.com/locations/monona-wi/ | http://www.instyprints.com/locations/monona-wi/ | ,https://www.instyprints.com/locations/monona-wi/,200,209.17.116.160,pdns07.domaincontrol.com.,
331356,Insty-Prints Champaign,instyprints.com/locations/champaign-il/,301,3,http://instyprints.com/locations/champaign-il/ | https://instyprints.com/locations/champaign-il/ | http://www.instyprints.com/locations/champaign-il/ | ,https://www.instyprints.com/locations/champaign-il/,200,209.17.116.160,pdns07.domaincontrol.com.,
331361,Insty-Prints Waukegan,instyprints.com/locations/waukegan-il/,301,3,http://instyprints.com/locations/waukegan-il/ | https://instyprints.com/locations/waukegan-il/ | http://www.instyprints.com/locations/waukegan-il/ | ,https://www.instyprints.com/locations/waukegan-il/,200,209.17.116.160,pdns07.domaincontrol.com.,
331364,Insty-Prints La Crosse,instyprints.com/locations/lacrosse-wi/,301,3,http://instyprints.com/locations/lacrosse-wi/ | https://instyprints.com/locations/lacrosse-wi/ | http://www.instyprints.com/locations/lacrosse-wi/ | ,https://www.instyprints.com/locations/lacrosse-wi/,200,209.17.116.160,pdns07.domaincontrol.com.,
331391,Insty-Prints Tucson,instyprints.com/locations/tucson-az/,301,3,http://instyprints.com/locations/tucson-az/ | https://instyprints.com/locations/tucson-az/ | http://www.instyprints.com/locations/tucson-az/ | ,https://www.instyprints.com/locations/tucson-az/,200,209.17.116.160,pdns07.domaincontrol.com.,
331394,Insty-Prints Jeffersonville,instyprints.com/locations/jeffersonville-in-missouri_ave/,301,3,http://instyprints.com/locations/jeffersonville-in-missouri_ave/ | https://instyprints.com/locations/jeffersonville-in-missouri_ave/ | http://www.instyprints.com/locations/jeffersonville-in-missouri_ave/ | ,https://www.instyprints.com/locations/jeffersonville-in-missouri_ave/,200,209.17.116.160,pdns07.domaincontrol.com.,
