Corp ID,Corp Name,Client ID,Client Name,URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
539,AllState Insurance Corporate,332530,Allstate Business Insurance - Jeremy Stringham (Photographers),iprotectsmallbiz.com/jeremy-stringham,403,,,http://iprotectsmallbiz.com/jeremy-stringham,403,104.196.57.56,ns93.worldnic.com.,
539,AllState Insurance Corporate,332538,Allstate Business Insurance - Le-Phuong Nguyen (Barber Shops),iprotectsmallbiz.com/lee-nguyen,403,,,http://iprotectsmallbiz.com/lee-nguyen,403,104.196.57.56,ns93.worldnic.com.,
539,AllState Insurance Corporate,332533,Allstate Business Insurance - Stacey Randolph-Castillo (Barber Shops),iprotectsmallbiz.com/stacey-randolphcastillo,403,,,http://iprotectsmallbiz.com/stacey-randolphcastillo,403,104.196.57.56,ns93.worldnic.com.,
203,Johnson Controls - Liberties Dealers,358186,Caltemp Inc,caltempinc.com,301,3,http://caltempinc.com/ | https://caltempinc.com/ | http://www.caltempinc.com/ | ,https://www.caltempinc.com/,200,209.17.116.160,ns3a.dns-host.com.,
353,Lawn Doctor,169201,Lawn Doctor -Mitchell - Group #467,lawndoctorfortworth-keller.com,301,1,http://lawndoctorfortworth-keller.com/ | ,https://www.lawndoctor.com/keller-tx/,403,35.231.90.17,ns-646.awsdns-16.net.,
539,AllState Insurance Corporate,332254,Allstate Business Insurance - Janet Oh (Photographers) -  ,iprotectsmallbiz.com/janet-oh,403,,,http://iprotectsmallbiz.com/janet-oh,403,104.196.57.56,ns94.worldnic.com.,
376,Cordell & Cordell,156630,DIY Divorce Texas (Cordell & Cordell),diydivorce.org,302,2,http://diydivorce.org/ | http://diydivorce.org/MnSSZ/ | ,http://diydivorce.org/,200,184.168.221.41,ns66.domaincontrol.com.,
203,Johnson Controls - Liberties Dealers,361368,Meihls Mechanical,meihlsmechanicalomermi.com,301,3,http://meihlsmechanicalomermi.com/ | https://meihlsmechanicalomermi.com/ | http://www.meihlsmechanicalomermi.com/ | ,https://www.meihlsmechanicalomermi.com/,200,209.17.116.160,ns3a.dns-host.com.,
614,Absolute Storage,320045,Ooltewah Storage Center,absolutemgmt.com/locations/tn/ooltewah-37363/,301,2,http://absolutemgmt.com/locations/tn/ooltewah-37363/ | https://absolutemgmt.com/locations/tn/ooltewah-37363/ | ,https://www.absolutemgmt.com/locations/tn/ooltewah-37363/,200,205.178.153.7,ns1.dotster.com.,
119,InterDent Inc.,128872,Gentle Dental Idylwood,gdidylwood.com,301,3,http://gdidylwood.com/ | https://gdidylwood.com/ | http://www.gdidylwood.com/ | ,https://www.gdidylwood.com/,200,209.17.116.160,ns3a.dns-host.com.,
