status,url,title,description,h1-1,referer
200,https://www.miracle-ear.com/,Hearing Aids and Devices by Miracle-Ear,"An industry leader in hearing devices, Miracle-Ear has 65+ years of experience creating hearing aid solutions. Visit one of our hearing centers today!","<h1 class=""typo-h1 white-color margin-bottom-15""><font style=""color: #008c95;"">Freedom to Enjoy a Better Life</font></h1>,<h1 class=""typo-h3"">Find a Miracle-Ear® Center Near You</h1>,<h1 class=""typo-h2 align-center"">How's your hearing? EEE</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Discover the Miracle-Ear Difference</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Free Hearing Guide</h1>,<h1 class=""typo-h4 pad-bottom-20-xs"">Miracle-Ear Foundation</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/download-our-conversation-guide,How to Talk About Hearing Loss,Not sure how to talk to your loved one about hearing loss? Miracle-Ear is here to help you prepare.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Your Guide to Speaking about Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point"">All the terms you need to know</h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point"">Signs of Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point"">What to Expect</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/signs-of-hearing-loss,Hearing Loss Prevention: Recognize the Signs of Hearing Loss,Hearing loss can happen to anyone. Watch for these common signs of hearing loss.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Recognize the Signs of Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Does your loved one suffer from hearing loss?</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">""My joy has returned.""</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/types-of-tinnitus,The Types of Tinnitus And How They Affect You,"There are two types of tinnitus: subjective tinnitus, the most common type, and objective tinnitus, which is much rarer. Tinnitus affects almost 15% of adults.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Types of Tinnitus</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/starting-the-conversation,Talking about Hearing Loss - Starting a Conversation,Talking to a loved one about hearing loss is easier with these resources.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Starting the Conversation</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">FAQ</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Blog</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/resources-for-hearing-loss,Hearing Loss Information - Resources,"Information on hearing loss including articles, hearing health glossary, online hearing test and more.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Resources for Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Hearing Health Glossary</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Tinnitus</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Hearing Aid Finder</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/facts-about-tinnitus,7 Facts About Ringing in the Ears,"Do you experience ringing, roaring, whooshing, clicking, or hissing noise in your ears? It may be tinnitus. Learn more.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">7 Facts About Tinnitus</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/accepting-hearing-loss,Accepting Hearing Loss: Make Every Day Count,Accepting hearing loss is the first step to minimizing the effects it has on your daily life. Why wait?,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Accepting Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/tinnitus-treatment,Hearing Aid Solutions for Tinnitus Treatment and Relief,Miracle-Ear hearing aids offer several features for tinnitus treatment and relief.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Tinnitus Treatment</h1>,<h1 class=""typo-h3"">Find your tinnitus relief</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/tinnitus,Tinnitus - That Noise in Your Ear,Do you hear ringing in the ear? Learn about tinnitus and hearing loss—and how hearing aids can help.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Tinnitus</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3"">Find a Miracle-Ear® Center Near You</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/social-signs-of-hearing-loss,Signs of Hearing Loss: What to Watch For | Miracle-Ear,Do you read lips or nod along in conversations? Learn about social bluffing and other hearing loss symptoms.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Signs of Hearing Loss: Are You a Social Bluffer?</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/exercise,Three Easy Tips for Exercising with Hearing Aids,Modern hearing aids are designed to keep you active. Learn three easy tips for exercising with hearing aids.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Hearing Aids and Exercise</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Hearing Aid Finder</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/travel,Checklist for Traveling with Hearing Loss and Hearing Aids,"Traveling with hearing loss or hearing aids may seem intimidating, but it doesn't have to be. Planning ahead and knowing how to prepare for a trip is the key to making it a great experience. Take a look at some tips to get the most out of your trips.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Traveling With Hearing Loss</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3"">Find a Miracle-Ear Wherever You Go</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
