Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-23 21:36:06,Painting with a Twist, LLC,272795,Painting With A Twist - St Petersburg,LIVE,http://paintingwithatwist.com/studio/stpetersburg,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,7273005424,False,7272015122,PPC Not Found,0,https://www.paintingwithatwist.com/studio/stpetersburg,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:36:27,Painting with a Twist, LLC,272802,Painting With A Twist - Lafayette,LIVE,http://paintingwithatwist.com/studio/lafayette,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,3374430618,False,3375412688,PPC Not Found,0,https://www.paintingwithatwist.com/studio/lafayette,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:36:48,Painting with a Twist, LLC,272813,Painting With A Twist - Grapevine,LIVE,http://paintingwithatwist.com/studio/grapevine,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8177784878,False,8173819937,PPC Not Found,0,https://www.paintingwithatwist.com/studio/grapevine,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:37:08,Painting with a Twist, LLC,272814,Painting With A Twist - Hammond,LIVE,http://paintingwithatwist.com/studio/hammond,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,9855204339,False,9852359551,PPC Not Found,0,https://www.paintingwithatwist.com/studio/hammond,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:37:27,Painting with a Twist, LLC,272817,Painting With A Twist - Sugar Land,LIVE,http://paintingwithatwist.com/studio/sugarland,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8325322831,False,2812011033,PPC Not Found,0,https://www.paintingwithatwist.com/studio/sugarland,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:37:46,Painting with a Twist, LLC,272818,Painting With A Twist - North Austin,LIVE,http://paintingwithatwist.com/studio/northaustin,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,5129104863,False,5125923227,PPC Not Found,0,https://www.paintingwithatwist.com/studio/northaustin,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:38:05,Painting with a Twist, LLC,272820,Painting With A Twist - Gretna,LIVE,http://paintingwithatwist.com/studio/gretna,504)361-0574,No Mobile Unpaid Numbers,504)361-0574,No Mobile Paid Numbers,5045217747,False,5044345372,PPC Not Found,0,https://www.paintingwithatwist.com/studio/gretna,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:38:28,Painting with a Twist, LLC,272824,Painting With A Twist - San Antonio,LIVE,http://paintingwithatwist.com/studio/sanantonio,210-495-7928,No Mobile Unpaid Numbers,210-495-7928,No Mobile Paid Numbers,2105709847,False,2104651761,PPC Not Found,0,https://www.paintingwithatwist.com/studio/sanantonio,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:38:49,Painting with a Twist, LLC,272825,Painting With A Twist - Frisco,LIVE,http://paintingwithatwist.com/studio/frisco,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4692000959,False,4698503834,PPC Not Found,0,https://www.paintingwithatwist.com/studio/frisco,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:39:10,Painting with a Twist, LLC,272831,Painting With A Twist - Dallas,LIVE,http://paintingwithatwist.com/studio/dallas,214-350-9911,No Mobile Unpaid Numbers,214-350-9911,No Mobile Paid Numbers,4692501058,False,2147361639,PPC Not Found,0,https://www.paintingwithatwist.com/studio/dallas,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:39:29,Painting with a Twist, LLC,272834,Painting With A Twist - Shreveport,LIVE,http://paintingwithatwist.com/studio/shreveport,318.524.9928,318.524.9928,318.524.9928,318.524.9928,3182307653,False,3183170845,PPC Not Found,0,https://www.paintingwithatwist.com/studio/shreveport,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:39:49,Painting with a Twist, LLC,272835,Painting With A Twist - McKinney,LIVE,http://paintingwithatwist.com/studio/mckinney,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2145043976,False,4693434682,PPC Not Found,0,https://www.paintingwithatwist.com/studio/mckinney,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:40:08,Painting with a Twist, LLC,272836,Painting With A Twist - Woodlands,LIVE,http://paintingwithatwist.com/studio/woodlands,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2815281136,False,2817199871,PPC Not Found,0,https://www.paintingwithatwist.com/studio/woodlands,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:40:27,Painting with a Twist, LLC,272837,Painting With A Twist - Lake Charles,LIVE,http://paintingwithatwist.com/studio/lakecharles,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,3372409776,False,3375134269,PPC Not Found,0,https://www.paintingwithatwist.com/studio/lakecharles,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:40:59,Painting with a Twist, LLC,272839,Painting With A Twist - Garland,LIVE,http://paintingwithatwist.com/studio/garland,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4693310987,False,4692297043,PPC Not Found,0,https://www.paintingwithatwist.com/studio/garland,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:41:19,Painting with a Twist, LLC,272840,Painting With A Twist - Cypress,LIVE,http://paintingwithatwist.com/studio/cypress,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2814077810,False,2818364555,PPC Not Found,0,https://www.paintingwithatwist.com/studio/cypress,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
