Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181023233125,2018-10-23 23:31:27,539,AllState Insurance Corporate,332022,Allstate Business Insurance - Lindsey Sumrall (Real Estate Agents),LIVE,http://iprotectsmallbiz.com/lindsey-sumrall,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/lindsey-sumrall?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:31:52,539,AllState Insurance Corporate,332244,Allstate Business Insurance - Henry Morales (Medical Offices),LIVE,http://iprotectsmallbiz.com/henry-morales,7146247811,7146247811,7146247811,7146247811,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/henry-morales?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:32:12,539,AllState Insurance Corporate,332246,Allstate Business Insurance - John Alsop (Medical Offices),LIVE,http://iprotectsmallbiz.com/john-alsop,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/john-alsop?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:32:33,539,AllState Insurance Corporate,332249,Allstate Business Insurance - Sarah Greenway (Dentists),LIVE,http://iprotectsmallbiz.com/sarah-greenway,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/sarah-greenway?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:32:55,539,AllState Insurance Corporate,332250,Allstate Business Insurance - Stacey Romney (Photographers),LIVE,http://iprotectsmallbiz.com/stacey-romney,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/stacey-romney?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:33:15,539,AllState Insurance Corporate,332252,Allstate Business Insurance - Doug Harlow (Chiropractors),LIVE,http://iprotectsmallbiz.com/doug-harlow,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/doug-harlow?provider=google,403,403,104.196.57.56,ns93.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:33:36,539,AllState Insurance Corporate,332254,Allstate Business Insurance - Janet Oh (Photographers) -  ,LIVE,http://iprotectsmallbiz.com/janet-oh,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/janet-oh?provider=google,403,403,104.196.57.56,ns93.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:33:57,539,AllState Insurance Corporate,332255,Allstate Business Insurance - Carl Johnson (Chiropractors),LIVE,http://iprotectsmallbiz.com/carl-johnson,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/carl-johnson?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:34:18,539,AllState Insurance Corporate,332256,Allstate Business Insurance - Andrew Baduria (Real Estate Agents),LIVE,http://iprotectsmallbiz.com/andrew-baduria,7143642615,7143642615,7143642615,7143642615,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/andrew-baduria?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:34:39,539,AllState Insurance Corporate,332328,Allstate Business Insurance - Adam Lazar (Chiropractors),LIVE,http://iprotectsmallbiz.com/adam-lazar,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/adam-lazar?provider=google,403,403,104.196.57.56,ns93.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:34:59,539,AllState Insurance Corporate,332332,Allstate Business Insurance - Eric Lopez (Chiropractors),LIVE,http://iprotectsmallbiz.com/eric-lopez,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/eric-lopez?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:35:20,539,AllState Insurance Corporate,332333,Allstate Business Insurance - Cuahutemoc Soto (Accounting Services),LIVE,http://iprotectsmallbiz.com/temo-leonsoto,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/temo-leonsoto?provider=google,403,403,104.196.57.56,ns94.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023233125,2018-10-23 23:35:41,539,AllState Insurance Corporate,332336,Allstate Business Insurance - James Kelly (Photographers),LIVE,http://iprotectsmallbiz.com/jim-kelly,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://iprotectsmallbiz.com/jim-kelly?provider=google,403,403,104.196.57.56,ns93.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
