Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181023221010,2018-10-23 22:13:19,627,Allegra,332571,Allegra Port Huron,LIVE,http://allegramarketingprint.com/locations/fort_gratiot-mi/,8103859100,8103859100,8102920195,8102920195,8102920190,8102920195,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/fort_gratiot-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181023221010,2018-10-23 22:14:20,627,Allegra,332575,Allegra Battle Creek,LIVE,http://allegramarketingprint.com/locations/battle_creek-mi/,2699682403,2699682403,2699682403,2699682403,2692138840,No DB Paid Number,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/battle_creek-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181023221010,2018-10-23 22:18:07,627,Allegra,332603,Allegra Evanston,LIVE,http://allegraevanston.com,0,0,0,0,8474978709,No DB Paid Number,0,PPC Not Found,0,http://allegraevanston.com/?provider=google,200,200,52.240.155.58,pdns07.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181023221010,2018-10-23 22:20:02,627,Allegra,332610,Allegra Ann Arbor,LIVE,http://allegramarketingprint.com/locations/saline-mi/,7349441404,7349441404,7349441404,7349441404,7343097711,No DB Paid Number,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/saline-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181023221010,2018-10-23 22:13:19,627,Allegra,332571,Allegra Port Huron,LIVE,http://allegramarketingprint.com/locations/fort_gratiot-mi/,8103859100,8103859100,8102920195,8102920195,8102920190,8102920195,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/fort_gratiot-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181023221010,2018-10-23 22:14:20,627,Allegra,332575,Allegra Battle Creek,LIVE,http://allegramarketingprint.com/locations/battle_creek-mi/,2699682403,2699682403,2699682403,2699682403,2692138840,No DB Paid Number,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/battle_creek-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181023221010,2018-10-23 22:18:07,627,Allegra,332603,Allegra Evanston,LIVE,http://allegraevanston.com,0,0,0,0,8474978709,No DB Paid Number,0,PPC Not Found,0,http://allegraevanston.com/?provider=google,200,200,52.240.155.58,pdns07.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023221010,2018-10-23 22:20:02,627,Allegra,332610,Allegra Ann Arbor,LIVE,http://allegramarketingprint.com/locations/saline-mi/,7349441404,7349441404,7349441404,7349441404,7343097711,No DB Paid Number,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/saline-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
Check unpaid mobile CTN,20181023221010,2018-10-23 22:13:19,627,Allegra,332571,Allegra Port Huron,LIVE,http://allegramarketingprint.com/locations/fort_gratiot-mi/,8103859100,8103859100,8102920195,8102920195,8102920190,8102920195,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/fort_gratiot-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
Check unpaid mobile CTN,20181023221010,2018-10-23 22:14:20,627,Allegra,332575,Allegra Battle Creek,LIVE,http://allegramarketingprint.com/locations/battle_creek-mi/,2699682403,2699682403,2699682403,2699682403,2692138840,No DB Paid Number,1,PPC Not Found,0,https://www.allegramarketingprint.com/locations/battle_creek-mi/?provider=google,301,200,209.17.116.161,pdns07.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
