Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024091936,2018-10-24 09:19:37,772,BeeHive Homes,356798,BeeHive Homes of Lafayette,LIVE,http://beehivehomes.com/location/lafayette/,7656076386,7656076386,7656076386,7656076386,7656076386,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/lafayette/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:19:59,772,BeeHive Homes,356824,BeeHive Homes of Draper,LIVE,http://beehivehomes.com/location/draper/,3852752626,3852752626,3852752626,3852752626,3852752626,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/draper/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:20:19,772,BeeHive Homes,361418,BeeHive Homes of Eau Claire,LIVE,http://beehivehomes.com/location/eau-claire/,7153185506,7153185506,7153185506,7153185506,7153185506,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/eau-claire/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:20:41,772,BeeHive Homes,361586,BeeHive Homes of Goshen - Prospect ,LIVE,http://beehivehomes.com/location/goshen/,5029071146,5029071146,5029071146,5029071146,5029071146,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/goshen/?provider=google,403,403,104.196.57.56,ns59.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:21:02,772,BeeHive Homes,361812,BeeHive Homes of Albuquerque West,LIVE,http://beehivehomes.com/location/albuquerque-west/,5054451294,5054451294,5054451294,5054451294,5054451294,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/albuquerque-west/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:21:23,772,BeeHive Homes,361833,BeeHive Homes of Springboro,LIVE,http://None,0,0,0,0,9373501173,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024091936,2018-10-24 09:21:44,772,BeeHive Homes,361835,BeeHive Homes of Knoxville,LIVE,http://beehivehomes.com/location/knoxville/,8656438762,8656438762,8656438762,8656438762,8656438762,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/knoxville/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
All Errors,20181024091936,2018-10-24 09:22:04,772,BeeHive Homes,361861,BeeHive Homes of Layton,LIVE,http://beehivehomes.com/location/layton/,8882164131,8882164131,8882164131,8882164131,8886114815,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/layton/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024091936,2018-10-24 09:22:24,772,BeeHive Homes,361878,BeeHive Homes of Roy,LIVE,http://beehivehomes.com/location/roy/,3853128843,3853128843,3853128843,3853128843,3853128843,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/roy/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if domain is in YL,20181024091936,2018-10-24 09:21:23,772,BeeHive Homes,361833,BeeHive Homes of Springboro,LIVE,http://None,0,0,0,0,9373501173,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024091936,2018-10-24 09:19:37,772,BeeHive Homes,356798,BeeHive Homes of Lafayette,LIVE,http://beehivehomes.com/location/lafayette/,7656076386,7656076386,7656076386,7656076386,7656076386,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/lafayette/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:19:59,772,BeeHive Homes,356824,BeeHive Homes of Draper,LIVE,http://beehivehomes.com/location/draper/,3852752626,3852752626,3852752626,3852752626,3852752626,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/draper/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:20:19,772,BeeHive Homes,361418,BeeHive Homes of Eau Claire,LIVE,http://beehivehomes.com/location/eau-claire/,7153185506,7153185506,7153185506,7153185506,7153185506,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/eau-claire/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:20:41,772,BeeHive Homes,361586,BeeHive Homes of Goshen - Prospect ,LIVE,http://beehivehomes.com/location/goshen/,5029071146,5029071146,5029071146,5029071146,5029071146,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/goshen/?provider=google,403,403,104.196.57.56,ns59.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:21:02,772,BeeHive Homes,361812,BeeHive Homes of Albuquerque West,LIVE,http://beehivehomes.com/location/albuquerque-west/,5054451294,5054451294,5054451294,5054451294,5054451294,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/albuquerque-west/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:21:23,772,BeeHive Homes,361833,BeeHive Homes of Springboro,LIVE,http://None,0,0,0,0,9373501173,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024091936,2018-10-24 09:21:44,772,BeeHive Homes,361835,BeeHive Homes of Knoxville,LIVE,http://beehivehomes.com/location/knoxville/,8656438762,8656438762,8656438762,8656438762,8656438762,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/knoxville/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,
Check if website is live,20181024091936,2018-10-24 09:22:04,772,BeeHive Homes,361861,BeeHive Homes of Layton,LIVE,http://beehivehomes.com/location/layton/,8882164131,8882164131,8882164131,8882164131,8886114815,No DB Paid Number,0,PPC Not Found,0,https://beehivehomes.com/location/layton/?provider=google,403,403,104.196.57.56,ns60.worldnic.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
