Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024084027,2018-10-24 08:40:29,610,Benevis,289581,Benevis-Alleghany Highlands Dental Care,LIVE,http://alleghanyhighlandsdentalcare.com,5406843765,5406843765,5406803544,5406803544,5406843765,5406803544,0,PPC Not Found,0,http://www.alleghanyhighlandsdentalcare.com/?provider=google,301,200,205.178.153.7,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:40:48,610,Benevis,289583,Benevis-360 Smiles,LIVE,http://360smiles.net,9728538722,9728538722,9726195947,9726195947,9728538722,9726195947,0,PPC Not Found,0,http://www.360smiles.net/?provider=google,301,200,205.178.153.7,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:41:08,610,Benevis,289596,Benevis - Alden Bridge Family Dental,LIVE,http://aldenbridgefamilydental.com,8322995923,8322995923,8324471948,8324471948,8322995923,8324471948,0,PPC Not Found,0,http://www.aldenbridgefamilydental.com/?provider=google,301,200,205.178.153.7,ns57.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:41:27,610,Benevis,289600,Benevis-Baseline Palm Dental of Arizona,LIVE,http://palmdentalaz.com,6028426289,6028426289,6028420168,6028420168,6028426289,6028420168,0,PPC Not Found,0,http://www.palmdentalaz.com/?provider=google,301,200,205.178.153.7,ns53.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:41:45,610,Benevis,289603,Benevis - Hobbs Family Dental Care,LIVE,http://hobbsfamilydentalcare.com,5752632051,5752632051,5752632005,5752632005,5752632051,5752632005,0,PPC Not Found,0,http://www.hobbsfamilydentalcare.com/?provider=google,301,200,205.178.153.7,ns43.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:42:04,610,Benevis,289605,Benevis - The Dental Edge of Houston,LIVE,http://dentaledgehouston.com,2814079025,2814079025,2816062264,2816062264,2814079025,2816062264,0,PPC Not Found,0,http://www.dentaledgehouston.com/?provider=google,301,200,205.178.153.7,ns67.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:42:44,610,Benevis,295227,Benevis- Resolution Dental ,LIVE,http://resolutiondental.com,7576900009,7576900009,7575041970,7575041970,7576900009,7575041970,0,PPC Not Found,0,http://www.resolutiondental.com/?provider=google,301,200,205.178.153.7,ns1.dns-solutions.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:43:04,610,Benevis,301268,Benevis- Knoxville Cosmetic & Family Dentistry P.C,LIVE,http://smilesknoxville.com,8652801144,8652801144,8653660352,8653660352,8652801144,8653660352,0,PPC Not Found,0,http://www.smilesknoxville.com/?provider=google,301,200,205.178.153.7,ns42.worldnic.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:43:24,610,Benevis,301272,Benevis- Dalton Family Dentistry,LIVE,http://daltonfamilydentistrypc.com,7065084632,7065084632,7062296504,7062296504,7065084632,7062296504,0,PPC Not Found,0,http://www.daltonfamilydentistrypc.com/?provider=google,301,200,205.178.153.7,ns01.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024084027,2018-10-24 08:44:04,610,Benevis,361304,Benevis - Halle Park Family Dentistry,LIVE,http://halleparkfamilydentistry.com,9016098162,9016098162,9014402382,9014402382,9016098162,9014402382,0,PPC Not Found,0,http://www.halleparkfamilydentistry.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024084027,2018-10-24 08:45:05,610,Benevis,364108,Benevis - Moynahan & Stamps Family Dentistry,LIVE,http://newnanfamilydentistry.com,4702414627,4702414627,4702151707,4702151707,4702414627,4702151707,0,PPC Not Found,0,http://www.newnanfamilydentistry.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:40:29,610,Benevis,289581,Benevis-Alleghany Highlands Dental Care,LIVE,http://alleghanyhighlandsdentalcare.com,5406843765,5406843765,5406803544,5406803544,5406843765,5406803544,0,PPC Not Found,0,http://www.alleghanyhighlandsdentalcare.com/?provider=google,301,200,205.178.153.7,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:40:48,610,Benevis,289583,Benevis-360 Smiles,LIVE,http://360smiles.net,9728538722,9728538722,9726195947,9726195947,9728538722,9726195947,0,PPC Not Found,0,http://www.360smiles.net/?provider=google,301,200,205.178.153.7,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:41:08,610,Benevis,289596,Benevis - Alden Bridge Family Dental,LIVE,http://aldenbridgefamilydental.com,8322995923,8322995923,8324471948,8324471948,8322995923,8324471948,0,PPC Not Found,0,http://www.aldenbridgefamilydental.com/?provider=google,301,200,205.178.153.7,ns57.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:41:27,610,Benevis,289600,Benevis-Baseline Palm Dental of Arizona,LIVE,http://palmdentalaz.com,6028426289,6028426289,6028420168,6028420168,6028426289,6028420168,0,PPC Not Found,0,http://www.palmdentalaz.com/?provider=google,301,200,205.178.153.7,ns53.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:41:45,610,Benevis,289603,Benevis - Hobbs Family Dental Care,LIVE,http://hobbsfamilydentalcare.com,5752632051,5752632051,5752632005,5752632005,5752632051,5752632005,0,PPC Not Found,0,http://www.hobbsfamilydentalcare.com/?provider=google,301,200,205.178.153.7,ns43.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:42:04,610,Benevis,289605,Benevis - The Dental Edge of Houston,LIVE,http://dentaledgehouston.com,2814079025,2814079025,2816062264,2816062264,2814079025,2816062264,0,PPC Not Found,0,http://www.dentaledgehouston.com/?provider=google,301,200,205.178.153.7,ns67.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:42:44,610,Benevis,295227,Benevis- Resolution Dental ,LIVE,http://resolutiondental.com,7576900009,7576900009,7575041970,7575041970,7576900009,7575041970,0,PPC Not Found,0,http://www.resolutiondental.com/?provider=google,301,200,205.178.153.7,ns1.dns-solutions.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024084027,2018-10-24 08:43:04,610,Benevis,301268,Benevis- Knoxville Cosmetic & Family Dentistry P.C,LIVE,http://smilesknoxville.com,8652801144,8652801144,8653660352,8653660352,8652801144,8653660352,0,PPC Not Found,0,http://www.smilesknoxville.com/?provider=google,301,200,205.178.153.7,ns42.worldnic.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
