Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181023195611,2018-10-23 19:56:12,762,Budget Blinds,335118,Budget Blinds - 2518 - SouthWesternMaine,LIVE,http://budgetblinds.com/southwesternmaine,2076257902,2076257902,2076257902,2076257902,No DB Unpaid Number,2072093768,false,PPC Not Found,0,https://budgetblinds.com/southwesternmaine?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:56:38,762,Budget Blinds,336704,Budget Blinds - 3601 - Medina,LIVE,http://budgetblinds.com/medina,3307631585,3307631585,3307631585,3307631585,No DB Unpaid Number,2343010303,false,PPC Not Found,0,https://budgetblinds.com/medina?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:57:03,762,Budget Blinds,336707,Budget Blinds - 3619 - Goodyear,LIVE,http://budgetblinds.com/goodyear,4806298854,4806298854,4806298854,4806298854,No DB Unpaid Number,4804283128,false,PPC Not Found,0,https://budgetblinds.com/goodyear?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:57:25,762,Budget Blinds,336708,Budget Blinds - 3704 - Kamloops,LIVE,http://budgetblinds.com/kamloops,2504340500,2504340500,2504340500,2504340500,No DB Unpaid Number,2509847012,false,PPC Not Found,0,https://budgetblinds.com/kamloops?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:57:48,762,Budget Blinds,336797,Budget Blinds - 10064 - Ferndale,LIVE,http://budgetblinds.com/ferndale,2487214235,2487214235,2487214235,2487214235,No DB Unpaid Number,2482917870,false,PPC Not Found,0,https://budgetblinds.com/ferndale?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:58:11,762,Budget Blinds,336798,Budget Blinds - 1569 - CantonMI,LIVE,http://budgetblinds.com/cantonmi,7344223382,7344223382,7344223382,7344223382,No DB Unpaid Number,7342376819,false,PPC Not Found,0,https://budgetblinds.com/cantonmi?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:58:34,762,Budget Blinds,336801,Budget Blinds - 2816 - Andover,LIVE,http://budgetblinds.com/andover,0,0,0,0,No DB Unpaid Number,3396450224,false,PPC Not Found,0,https://budgetblinds.com/andover?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:58:57,762,Budget Blinds,336802,Budget Blinds - 2834 - Danvers,LIVE,http://budgetblinds.com/danvers,9783175537,9783175537,9783175537,9783175537,No DB Unpaid Number,9785484143,false,PPC Not Found,0,https://budgetblinds.com/danvers?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:59:20,762,Budget Blinds,336803,Budget Blinds - 2824 - Shrewsbury,LIVE,http://budgetblinds.com/shrewsbury,5088423373,5088423373,5088423373,5088423373,No DB Unpaid Number,5087198417,false,PPC Not Found,0,https://budgetblinds.com/shrewsbury?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 19:59:42,762,Budget Blinds,336805,Budget Blinds - 1833 - Burlington,LIVE,http://budgetblinds.com/billerica,5088423373,5088423373,0,0,No DB Unpaid Number,7812025581,false,PPC Not Found,0,https://budgetblinds.com/billerica?provider=google,301,404,166.78.83.125,ns43.domaincontrol.com.,yes,no,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 20:00:03,762,Budget Blinds,336806,Budget Blinds - 10079 - Winchester,LIVE,http://budgetblinds.com/winchester,7812220646,7812220646,7812220646,7812220646,No DB Unpaid Number,7812025164,false,PPC Not Found,0,https://budgetblinds.com/winchester?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 20:00:26,762,Budget Blinds,336807,Budget Blinds - 1854 - Waltham,LIVE,http://budgetblinds.com/waltham,7813269600,7813269600,7813269600,7813269600,No DB Unpaid Number,3392040857,false,PPC Not Found,0,https://budgetblinds.com/waltham?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 20:00:47,762,Budget Blinds,336808,Budget Blinds - 2981 - Worcester,LIVE,http://budgetblinds.com/worcester,5087621328,5087621328,5087621328,5087621328,No DB Unpaid Number,5083404373,false,PPC Not Found,0,https://budgetblinds.com/worcester?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023195611,2018-10-23 20:01:08,762,Budget Blinds,336809,Budget Blinds - 2817 - Westborough,LIVE,http://budgetblinds.com/westborough,5083661219,5083661219,5083661219,5083661219,No DB Unpaid Number,5086149466,false,PPC Not Found,0,https://budgetblinds.com/westborough?provider=google,301,200,166.78.83.125,ns43.domaincontrol.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
