Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024101908,2018-10-24 10:19:09,464,CKO Kickboxing,213988,CKO Kickboxing - Roxbury,LIVE,http://ckoroxbury.com,9733283255,9733283255,9733283255,9733283255,8623971761,8623971719,0,PPC Not Found,0,http://www.ckoroxbury.com/?provider=google,301,200,205.178.153.7,ns21.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
All Errors,20181024101908,2018-10-24 10:19:29,464,CKO Kickboxing,215975,CKO Kickboxing - Astoria,LIVE,http://ckoastoria.com,3476690494,3476690494,3476690494,3476690494,3479440990,9293445245,0,PPC Not Found,0,https://www.ckokickboxing.com/ny-long-island-city-astoria/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101908,2018-10-24 10:19:54,464,CKO Kickboxing,240161,CKO Kickboxing - Wall,LIVE,http://ckowall.com,7322758222,7322758222,7322758222,7322758222,7323338784,7326391776,0,PPC Not Found,0,https://www.ckokickboxing.com/nj-wall-township-wall/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101908,2018-10-24 10:20:17,464,CKO Kickboxing,257250,CKO Kickboxing - Wayne NJ,LIVE,http://ckowayne.com,9738327444,9738327444,9738327444,9738327444,9736926328,9735876301,0,PPC Not Found,0,https://www.ckokickboxing.com/nj-wayne/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101908,2018-10-24 10:20:42,464,CKO Kickboxing,320075,CKO South Bay,LIVE,http://ckosouthbay.com,4242568224,4242568224,4242568224,4242568224,4242760882,4242560384,0,PPC Not Found,0,http://www.ckosouthbay.com/?provider=google,200,200,45.60.23.229,ns2.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024101908,2018-10-24 10:19:09,464,CKO Kickboxing,213988,CKO Kickboxing - Roxbury,LIVE,http://ckoroxbury.com,9733283255,9733283255,9733283255,9733283255,8623971761,8623971719,0,PPC Not Found,0,http://www.ckoroxbury.com/?provider=google,301,200,205.178.153.7,ns21.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024101908,2018-10-24 10:19:29,464,CKO Kickboxing,215975,CKO Kickboxing - Astoria,LIVE,http://ckoastoria.com,3476690494,3476690494,3476690494,3476690494,3479440990,9293445245,0,PPC Not Found,0,https://www.ckokickboxing.com/ny-long-island-city-astoria/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101908,2018-10-24 10:19:54,464,CKO Kickboxing,240161,CKO Kickboxing - Wall,LIVE,http://ckowall.com,7322758222,7322758222,7322758222,7322758222,7323338784,7326391776,0,PPC Not Found,0,https://www.ckokickboxing.com/nj-wall-township-wall/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101908,2018-10-24 10:20:17,464,CKO Kickboxing,257250,CKO Kickboxing - Wayne NJ,LIVE,http://ckowayne.com,9738327444,9738327444,9738327444,9738327444,9736926328,9735876301,0,PPC Not Found,0,https://www.ckokickboxing.com/nj-wayne/?provider=google,301,200,67.43.1.183,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101908,2018-10-24 10:20:42,464,CKO Kickboxing,320075,CKO South Bay,LIVE,http://ckosouthbay.com,4242568224,4242568224,4242568224,4242568224,4242760882,4242560384,0,PPC Not Found,0,http://www.ckosouthbay.com/?provider=google,200,200,45.60.23.229,ns2.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
