Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024065559,2018-10-24 06:56:00,632,Concrete Craft,351615,Concrete Craft - 517NC304 - Charlotte,LIVE,http://concretecraft.com/charlotte,7049002751,7049002751,7045944081,7045944081,9802886272,7045944081,1,PPC Not Found,0,https://concretecraft.com/charlotte/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:56:35,632,Concrete Craft,351618,Concrete Craft - 518NC303 - Kernersville,LIVE,http://concretecraft.com/kernersville,3363101615,3363101615,8007908138,8007908138,8882911399,8007908138,1,PPC Not Found,0,https://concretecraft.com/kernersville/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:57:06,632,Concrete Craft,351619,Concrete Craft - 819WA310 - Bellevue,LIVE,http://concretecraft.com/bellevue,425)6156512,425)6156512,4252743825,4252743825,No DB Unpaid Number,4252743825,false,PPC Not Found,0,https://concretecraft.com/bellevue/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:57:38,632,Concrete Craft,351626,Concrete Craft - 752CO302 - Colorado Springs,LIVE,http://concretecraft.com/coloradosprings,719)7222423,719)7222423,7192869827,7192869827,No DB Unpaid Number,7192869827,false,PPC Not Found,0,https://concretecraft.com/coloradosprings/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:58:40,632,Concrete Craft,351627,Concrete Craft - 511VA307 - Mclean,LIVE,http://concretecraft.com/mclean,571)3883341,571)3883341,5712525671,5712525671,No DB Unpaid Number,5712525671,false,PPC Not Found,0,https://concretecraft.com/mclean/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:59:18,632,Concrete Craft,351639,Concrete Craft - 539FL312 - Sarasota,LIVE,http://concretecraft.com/sarasota,941)2177474,941)2177474,9412037293,9412037293,No DB Unpaid Number,9412037293,false,PPC Not Found,0,https://concretecraft.com/sarasota/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 06:59:46,632,Concrete Craft,351641,Concrete Craft - 541KY302 - lexington,LIVE,http://concretecraft.com/lexington,8595542527,8595542527,8593095577,8593095577,No DB Unpaid Number,8593095577,false,PPC Not Found,0,https://concretecraft.com/lexington/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 07:00:18,632,Concrete Craft,351642,Concrete Craft - 630AL302 - Birmingham,LIVE,http://concretecraft.com/birmingham,0,0,2052087086,2052087086,No DB Unpaid Number,2052087086,false,PPC Not Found,0,https://concretecraft.com/birmingham/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 07:00:46,632,Concrete Craft,351643,Concrete Craft - 557TN301 - Knoxville,LIVE,http://concretecraft.com/knoxville,865)2402929,865)2402929,8653148630,8653148630,No DB Unpaid Number,8653148630,false,PPC Not Found,0,https://concretecraft.com/knoxville/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024065559,2018-10-24 07:01:56,632,Concrete Craft,351645,Concrete Craft - 623TX305 - Allen,LIVE,http://concretecraft.com/allen/,0,0,4692772948,4692772948,No DB Unpaid Number,4692772948,false,PPC Not Found,0,https://concretecraft.com/allen/?provider=google&provider=google,301,200,161.47.48.68,ns65.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
