Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024073118,2018-10-24 07:31:20,115,Concrete Technology Inc,116326,Concrete Design Concepts LLC,LIVE,http://concretedesignconceptsnc.com,9102592222,9102592222,9104440696,9104440696,9102369987,9104440696,1,PPC Not Found,0,http://www.concretedesignconceptsnc.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,
All Errors,20181024073118,2018-10-24 07:33:03,115,Concrete Technology Inc,217587,CTi of New Orleans LLC,LIVE,http://ctiofneworleans.com,5043134606,5043134606,5042660123,5042660123,9852735427,5042660123,0,PPC Not Found,2,https://www.ctiofneworleans.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
All Errors,20181024073118,2018-10-24 07:35:50,115,Concrete Technology Inc,301501,Creative Surface Works LLC,LIVE,http://csw-cti.com,9706859832,9706859832,9706859832,9706859832,7014049589,No DB Paid Number,1,PPC Not Found,2,https://www.csw-cti.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
All Errors,20181024073118,2018-10-24 07:36:31,115,Concrete Technology Inc,304199,Concrete Resurfacing Inc,LIVE,http://concreteresurfacinginc.com,4242760956,4242760956,4242560365,4242560365,4242760956,4242560365,0,PPC Not Found,0,http://www.concreteresurfacinginc.com/?provider=google,301,200,205.178.153.6,ns71.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024073118,2018-10-24 07:31:20,115,Concrete Technology Inc,116326,Concrete Design Concepts LLC,LIVE,http://concretedesignconceptsnc.com,9102592222,9102592222,9104440696,9104440696,9102369987,9104440696,1,PPC Not Found,0,http://www.concretedesignconceptsnc.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024073118,2018-10-24 07:33:03,115,Concrete Technology Inc,217587,CTi of New Orleans LLC,LIVE,http://ctiofneworleans.com,5043134606,5043134606,5042660123,5042660123,9852735427,5042660123,0,PPC Not Found,2,https://www.ctiofneworleans.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024073118,2018-10-24 07:35:50,115,Concrete Technology Inc,301501,Creative Surface Works LLC,LIVE,http://csw-cti.com,9706859832,9706859832,9706859832,9706859832,7014049589,No DB Paid Number,1,PPC Not Found,2,https://www.csw-cti.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024073118,2018-10-24 07:31:20,115,Concrete Technology Inc,116326,Concrete Design Concepts LLC,LIVE,http://concretedesignconceptsnc.com,9102592222,9102592222,9104440696,9104440696,9102369987,9104440696,1,PPC Not Found,0,http://www.concretedesignconceptsnc.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024073118,2018-10-24 07:33:03,115,Concrete Technology Inc,217587,CTi of New Orleans LLC,LIVE,http://ctiofneworleans.com,5043134606,5043134606,5042660123,5042660123,9852735427,5042660123,0,PPC Not Found,2,https://www.ctiofneworleans.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024073118,2018-10-24 07:35:50,115,Concrete Technology Inc,301501,Creative Surface Works LLC,LIVE,http://csw-cti.com,9706859832,9706859832,9706859832,9706859832,7014049589,No DB Paid Number,1,PPC Not Found,2,https://www.csw-cti.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check if SSL is enabled,20181024073118,2018-10-24 07:31:20,115,Concrete Technology Inc,116326,Concrete Design Concepts LLC,LIVE,http://concretedesignconceptsnc.com,9102592222,9102592222,9104440696,9104440696,9102369987,9104440696,1,PPC Not Found,0,http://www.concretedesignconceptsnc.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024073118,2018-10-24 07:36:31,115,Concrete Technology Inc,304199,Concrete Resurfacing Inc,LIVE,http://concreteresurfacinginc.com,4242760956,4242760956,4242560365,4242560365,4242760956,4242560365,0,PPC Not Found,0,http://www.concreteresurfacinginc.com/?provider=google,301,200,205.178.153.6,ns71.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
