Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024015717,2018-10-24 01:57:19,376,Cordell & Cordell,149046,Cordell & Cordell Charlotte,LIVE,http://cordellcordell.com/offices/north-carolina/charlotte/,7049788944,7049788944,7042515599,7042515599,7049788944,7042515599,0,PPC Not Found,0,https://cordellcordell.com/offices/north-carolina/charlotte/?provider=google,403,403,35.184.160.12,ns2.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:57:40,376,Cordell & Cordell,149602,Cordell & Cordell Madison,LIVE,http://cordellcordell.com/offices/wisconsin/madison/,6082913991,6082913991,6082913959,6082913959,6082913991,6082913959,0,PPC Not Found,0,https://cordellcordell.com/offices/wisconsin/madison/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:57:59,376,Cordell & Cordell,149632,Cordell & Cordell Raleigh,LIVE,http://cordellcordell.com/offices/north-carolina/raleigh/,9193353960,9193353960,9192496909,9192496909,9193353960,9192496909,0,PPC Not Found,0,https://cordellcordell.com/offices/north-carolina/raleigh/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:58:19,376,Cordell & Cordell,149646,Cordell & Cordell Milwaukee,LIVE,http://cordellcordell.com/offices/wisconsin/milwaukee/,4146163324,4146163324,4146163323,4146163323,4146163324,4146163323,0,PPC Not Found,0,https://cordellcordell.com/offices/wisconsin/milwaukee/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:58:39,376,Cordell & Cordell,149650,Cordell & Cordell Memphis,LIVE,http://cordellcordell.com/offices/tennessee/memphis/,9013038639,9013038639,9012903071,9012903071,9013038639,9012903071,0,PPC Not Found,0,https://cordellcordell.com/offices/tennessee/memphis/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:58:58,376,Cordell & Cordell,149680,Cordell & Cordell Nashville,LIVE,http://cordellcordell.com/offices/tennessee/nashville/,6152195504,6152195504,6152195503,6152195503,6152195504,6152195503,0,PPC Not Found,0,https://cordellcordell.com/offices/tennessee/nashville/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:59:18,376,Cordell & Cordell,149699,Cordell & Cordell Louisville,LIVE,http://cordellcordell.com/offices/kentucky/louisville/,5022303438,5022303438,5022303263,5022303263,5022303438,5022303263,0,PPC Not Found,0,https://cordellcordell.com/offices/kentucky/louisville/?provider=google,403,403,35.184.160.12,ns3.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:59:38,376,Cordell & Cordell,149701,Cordell & Cordell Dallas/Fort Worth,LIVE,http://cordellcordell.com/offices/texas/dallas/,9724457052,9724457052,9724606724,9724606724,9724457052,9724606724,0,PPC Not Found,0,https://cordellcordell.com/offices/texas/dallas/?provider=google,403,403,35.184.160.12,ns4.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 01:59:57,376,Cordell & Cordell,149703,Cordell & Cordell Detroit/Ann Arbor,LIVE,http://cordellcordell.com/offices/michigan/ann-arbor/,7342194180,7342194180,3132304032,3132304032,7342194180,3132304032,0,PPC Not Found,0,https://cordellcordell.com/offices/michigan/ann-arbor/?provider=google,403,403,35.184.160.12,ns1.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
All Errors,20181024015717,2018-10-24 02:00:17,376,Cordell & Cordell,149704,Cordell & Cordell Cincinnati,LIVE,http://cordellcordell.com/offices/ohio/cincinnati/,5132737660,5132737660,5132863359,5132863359,5132737660,5132863359,0,PPC Not Found,0,https://cordellcordell.com/offices/ohio/cincinnati/?provider=google,403,403,35.184.160.12,ns4.linode.com.,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,
