Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024044635,2018-10-24 04:46:36,128,Cottman Transmission and Total Auto Care,45621,Cottman of South Austin,LIVE,http://cottmanofsouthaustin.com,5125185412,5125185412,5125185410,5125185410,5125185412,5125185410,0,PPC Not Found,0,http://www.cottmanofsouthaustin.com/?provider=google,301,200,205.178.153.7,ns1118.ui-dns.org.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:46:56,128,Cottman Transmission and Total Auto Care,45627,Cottman of Beaverton,LIVE,http://cottmanofbeaverton.com,5033884553,5033884553,5033884537,5033884537,5033884553,5033884537,0,PPC Not Found,0,http://www.cottmanofbeaverton.com/?provider=google,301,200,205.178.153.7,ns1065.ui-dns.de.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:47:17,128,Cottman Transmission and Total Auto Care,45630,Cottman of Boutte,LIVE,http://cottmanofboutte.com,9852679148,9852679148,9852679580,9852679580,9852679148,9852679580,0,PPC Not Found,0,http://www.cottmanofboutte.com/?provider=google,301,200,205.178.153.7,ns1066.ui-dns.biz.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:47:37,128,Cottman Transmission and Total Auto Care,45631,Cottman of Brandon,LIVE,http://cottmanofbrandon.com,8136414966,8136414966,8137934093,8137934093,8136414966,8137934093,0,PPC Not Found,0,http://www.cottmanofbrandon.com/?provider=google,301,200,205.178.153.7,ns1044.ui-dns.biz.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:47:57,128,Cottman Transmission and Total Auto Care,45637,Cottman of Cedar Park,LIVE,http://cottmanofcedarpark.com,5124102678,5124102678,5124102603,5124102603,5124102678,5124102603,0,PPC Not Found,0,http://www.cottmanofcedarpark.com/?provider=google,301,200,205.178.153.7,ns1070.ui-dns.de.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:48:17,128,Cottman Transmission and Total Auto Care,45642,Cottman of Charlotte,LIVE,http://cottmanofcharlotte.com,7047434186,7047434186,7047434186,7047434186,7047690955,7043809203,0,PPC Not Found,0,http://www.cottmanofsouthcharlotte.com/,302,200,205.178.153.7,ns1119.ui-dns.org.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:48:38,128,Cottman Transmission and Total Auto Care,45644,Cottman of Columbia,LIVE,http://cottmanofcolumbia.com,8036199335,8036199335,8032655360,8032655360,8036199335,8032655360,0,PPC Not Found,0,http://www.cottmanofcolumbia.com/?provider=google,301,200,205.178.153.7,ns1073.ui-dns.biz.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:48:59,128,Cottman Transmission and Total Auto Care,45646,Cottman of Cornelius,LIVE,http://None,0,0,0,0,7046590764,7046590750,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024044635,2018-10-24 04:49:17,128,Cottman Transmission and Total Auto Care,45648,Cottman of Denver,LIVE,http://cottmanofdenver.com,3038168612,3038168612,3037476871,3037476871,3038168612,3037476871,0,PPC Not Found,0,http://www.cottmanofdenver.com/?provider=google,301,200,205.178.153.7,ns1077.ui-dns.biz.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:49:37,128,Cottman Transmission and Total Auto Care,45664,Cottman of Durham,LIVE,http://durhamtransmission.com,9192415126,9192415126,9197274501,9197274501,9192415126,9197274501,0,PPC Not Found,0,http://www.durhamtransmission.com/?provider=google,301,200,205.178.153.7,ns1095.ui-dns.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:49:57,128,Cottman Transmission and Total Auto Care,45666,Cottman of Emmaus,LIVE,http://cottmanofemmaus.com,6104214331,6104214331,6106165752,6106165752,6104214331,6106165752,0,PPC Not Found,0,http://www.cottmanofemmaus.com/?provider=google,301,200,205.178.153.7,ns1081.ui-dns.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:50:17,128,Cottman Transmission and Total Auto Care,45670,Cottman of Cincinnati,LIVE,http://cottmanofcincinnati.com,5132024784,5132024784,5132024839,5132024839,5132024784,5132024839,0,PPC Not Found,0,http://www.cottmanofcincinnati.com/?provider=google,301,200,205.178.153.7,ns1072.ui-dns.biz.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:50:44,128,Cottman Transmission and Total Auto Care,45671,Cottman of Feasterville,LIVE,http://cottmanoffeasterville.com,2676845157,2676845157,2675740264,2675740264,2676845157,2675740264,0,PPC Not Found,0,http://www.cottmanoffeasterville.com/?provider=google,301,200,205.178.153.7,ns1082.ui-dns.org.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:51:04,128,Cottman Transmission and Total Auto Care,45674,Cottman of Fern Park,LIVE,http://cottmanoffernpark.com,4072788516,4072788516,4072788317,4072788317,4072788516,4072788317,0,PPC Not Found,0,http://www.cottmanoffernpark.com/?provider=google,301,200,205.178.153.7,ns1083.ui-dns.org.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:51:24,128,Cottman Transmission and Total Auto Care,45675,Cottman of Flint,LIVE,http://cottmanofflint.com,8105536808,8105536808,8105228557,8105228557,8105536808,8105228557,0,PPC Not Found,0,http://www.cottmanofflint.com/?provider=google,301,200,205.178.153.7,ns1085.ui-dns.de.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024044635,2018-10-24 04:51:44,128,Cottman Transmission and Total Auto Care,45681,Cottman of Gladstone,LIVE,http://cottmanofgladstone.com,8166079636,8166079636,8163483517,8163483517,8166079636,8163483517,0,PPC Not Found,0,http://www.cottmanofgladstone.com/?provider=google,301,200,205.178.153.7,ns1087.ui-dns.de.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
