Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024023147,2018-10-24 02:31:49,577,Deca Dental Group,24692,Cornerstone Dental (Flower Mound),LIVE,http://myflowermounddental.com,9728993499,9728993499,9728993499,9728993499,9726164127,9725908470,0,PPC Not Found,2,https://www.mycornerstonedentist.com/dentist-offices/flower-mound/?utm_medium=redirect&utm_source=www.cornerstonedentalfm.com,301,403,161.47.151.148,ns61.domaincontrol.com.,yes,no,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:32:13,577,Deca Dental Group,26491,Ideal Dental | Plano,LIVE,http://myidealdental.com/locations/plano/,2143878800,2143878800,2143878800,2143878800,2145043765,2145043763,0,PPC Not Found,0,https://www.myidealdental.com/dentist-offices/plano/?provider=google,301,200,161.47.151.148,ns29.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:32:35,577,Deca Dental Group,26493,Ideal Dental | Garland,LIVE,http://myidealdental.com/locations/garland/,4693689889,4693689889,4693689889,4693689889,4697776739,4695223308,0,PPC Not Found,0,https://www.myidealdental.com/dentist-offices/garland/?provider=google,301,200,161.47.151.148,ns29.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:32:56,577,Deca Dental Group,37538,Cornerstone Dental & Orthodontics (Corinth/Hickory Creek),LIVE,http://cornerstonedentalhc.com,9402419415,9402419415,9402419415,9402419415,No DB Unpaid Number,9405804032,false,PPC Not Found,2,https://www.mycornerstonedentist.com/dentist-offices/corinth/?utm_medium=redirect&utm_source=www.cornerstonedentalhc.com,301,403,161.47.151.148,ns61.domaincontrol.com.,yes,no,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:33:18,577,Deca Dental Group,37540,Sunnyvale Smiles,LIVE,http://sunnyvalesmiles.com,9722161871,9722161871,9722161871,9722161871,9726164133,9723304527,0,PPC Not Found,0,https://www.sunnyvalesmiles.com/?provider=google,301,200,161.47.151.148,ns39.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:33:39,577,Deca Dental Group,37543,Milestone Dental Arlington,LIVE,http://milestonedental.net,8176356453,8176356453,8176356453,8176356453,No DB Unpaid Number,8173825492,false,PPC Not Found,2,https://www.milestonedental.com/dentist-offices/arlington/?provider=google,301,200,161.47.151.148,ns57.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:34:06,577,Deca Dental Group,44861,Ideal Dental | Euless,LIVE,http://myidealdental.com/locations/euless/,8175713368,8175713368,8175713368,8175713368,8175000086,8177768070,0,PPC Not Found,0,https://www.myidealdental.com/dentist-offices/euless/?provider=google,301,200,161.47.151.148,ns29.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:34:27,577,Deca Dental Group,53359,Ideal Dental | University Park,LIVE,http://myidealdental.com/locations/university-park/,2143613550,2143613550,2143613550,2143613550,2145042321,2148430949,0,PPC Not Found,0,https://www.myidealdental.com/dentist-offices/university-park/?provider=google,301,200,161.47.151.148,ns29.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:34:48,577,Deca Dental Group,53360,Ideal Dental | Forney,LIVE,http://myidealdental.com/locations/forney/,9725522373,9725522373,9725522373,9725522373,9723729273,9723729324,0,PPC Not Found,0,https://www.myidealdental.com/dentist-offices/forney/?provider=google,301,200,161.47.151.148,ns29.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024023147,2018-10-24 02:35:08,577,Deca Dental Group,83650,Milestone Dental Carrollton,LIVE,http://milestonecarrollton.com,9728206453,9728206453,9728206453,9728206453,No DB Unpaid Number,9725877532,false,PPC Not Found,2,https://www.milestonedental.com/dentist-offices/carrollton/?provider=google,301,200,161.47.151.148,ns57.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
