Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024050352,2018-10-24 05:03:53,757,Dimensional Dental Management,330338,DD- Eastern Dental Shell Account,LIVE,http://easterndental.com,0,0,0,0,3134515903,No DB Paid Number,1,PPC Not Found,0,https://www.easterndental.com/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024050352,2018-10-24 05:12:09,757,Dimensional Dental Management,341430,DD- Main Street Dental Corporate Shell Account,LIVE,http://mainstreetdental.us,0,0,0,0,3134515791,No DB Paid Number,1,PPC Not Found,0,https://www.mainstreetdental.us/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024050352,2018-10-24 05:14:15,757,Dimensional Dental Management,341796,DD- Quality Dental Care Corporate Shell Account,LIVE,http://quality-dentalcare.com,0,0,0,0,8563690908,No DB Paid Number,1,PPC Not Found,0,https://www.quality-dentalcare.com/?provider=google,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024050352,2018-10-24 05:15:19,757,Dimensional Dental Management,342175,Dimensional Dental Umbrella Site,LIVE,http://dimensionaldental.com,0,0,0,0,7325273066,No DB Paid Number,0,PPC Not Found,0,http://www.dimensionaldental.com/?provider=google,301,200,205.178.153.7,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024050352,2018-10-24 05:03:53,757,Dimensional Dental Management,330338,DD- Eastern Dental Shell Account,LIVE,http://easterndental.com,0,0,0,0,3134515903,No DB Paid Number,1,PPC Not Found,0,https://www.easterndental.com/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024050352,2018-10-24 05:12:09,757,Dimensional Dental Management,341430,DD- Main Street Dental Corporate Shell Account,LIVE,http://mainstreetdental.us,0,0,0,0,3134515791,No DB Paid Number,1,PPC Not Found,0,https://www.mainstreetdental.us/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024050352,2018-10-24 05:14:15,757,Dimensional Dental Management,341796,DD- Quality Dental Care Corporate Shell Account,LIVE,http://quality-dentalcare.com,0,0,0,0,8563690908,No DB Paid Number,1,PPC Not Found,0,https://www.quality-dentalcare.com/?provider=google,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024050352,2018-10-24 05:15:19,757,Dimensional Dental Management,342175,Dimensional Dental Umbrella Site,LIVE,http://dimensionaldental.com,0,0,0,0,7325273066,No DB Paid Number,0,PPC Not Found,0,http://www.dimensionaldental.com/?provider=google,301,200,205.178.153.7,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024050352,2018-10-24 05:03:53,757,Dimensional Dental Management,330338,DD- Eastern Dental Shell Account,LIVE,http://easterndental.com,0,0,0,0,3134515903,No DB Paid Number,1,PPC Not Found,0,https://www.easterndental.com/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid mobile CTN,20181024050352,2018-10-24 05:12:09,757,Dimensional Dental Management,341430,DD- Main Street Dental Corporate Shell Account,LIVE,http://mainstreetdental.us,0,0,0,0,3134515791,No DB Paid Number,1,PPC Not Found,0,https://www.mainstreetdental.us/?provider=google,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid mobile CTN,20181024050352,2018-10-24 05:14:15,757,Dimensional Dental Management,341796,DD- Quality Dental Care Corporate Shell Account,LIVE,http://quality-dentalcare.com,0,0,0,0,8563690908,No DB Paid Number,1,PPC Not Found,0,https://www.quality-dentalcare.com/?provider=google,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
Check unpaid mobile CTN,20181024050352,2018-10-24 05:15:19,757,Dimensional Dental Management,342175,Dimensional Dental Umbrella Site,LIVE,http://dimensionaldental.com,0,0,0,0,7325273066,No DB Paid Number,0,PPC Not Found,0,http://www.dimensionaldental.com/?provider=google,301,200,205.178.153.7,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024050352,2018-10-24 05:15:19,757,Dimensional Dental Management,342175,Dimensional Dental Umbrella Site,LIVE,http://dimensionaldental.com,0,0,0,0,7325273066,No DB Paid Number,0,PPC Not Found,0,http://www.dimensionaldental.com/?provider=google,301,200,205.178.153.7,ns2.rackspace.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
