Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024103714,2018-10-24 10:37:15,456,Dormstormers,196316,Dormstormers - Alaska,LIVE,http://dormstormers-usa.com/locations-preview/gnome-alaska/,6466988628,6466988628,6466667296,6466667296,6466988628,6466667296,0,PPC Not Found,0,http://www.dormstormers-usa.com/locations-preview/gnome-alaska/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,
All Errors,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024103714,2018-10-24 10:37:15,456,Dormstormers,196316,Dormstormers - Alaska,LIVE,http://dormstormers-usa.com/locations-preview/gnome-alaska/,6466988628,6466988628,6466667296,6466667296,6466988628,6466667296,0,PPC Not Found,0,http://www.dormstormers-usa.com/locations-preview/gnome-alaska/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,
Check session tracking code,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024103714,2018-10-24 10:37:15,456,Dormstormers,196316,Dormstormers - Alaska,LIVE,http://dormstormers-usa.com/locations-preview/gnome-alaska/,6466988628,6466988628,6466667296,6466667296,6466988628,6466667296,0,PPC Not Found,0,http://www.dormstormers-usa.com/locations-preview/gnome-alaska/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,
Check if SSL is enabled,20181024103714,2018-10-24 10:37:57,456,Dormstormers,335777,Dormstormers - Bulk Creation Test 1,LIVE,http://test4michal.com,0,0,0,0,8007611875,No DB Paid Number,0,PPC Not Found,0,http://test4michal.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Provision SSL,20181024103714,2018-10-24 10:37:15,456,Dormstormers,196316,Dormstormers - Alaska,LIVE,http://dormstormers-usa.com/locations-preview/gnome-alaska/,6466988628,6466988628,6466667296,6466667296,6466988628,6466667296,0,PPC Not Found,0,http://www.dormstormers-usa.com/locations-preview/gnome-alaska/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,
