Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024025039,2018-10-24 02:50:41,470,Go Minis,212554,Go Mini's of Lakeland FL,LIVE,http://gominislakelandfl.com,8633010466,8633010466,8635468374,8635468374,8633010466,8635468374,0,PPC Not Found,1,http://www.gominislakelandfl.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024025039,2018-10-24 02:51:02,470,Go Minis,212555,Go Mini's of Tampa FL,LIVE,http://goministampa.com,8639400895,8639400895,8635764114,8635764114,8639400895,8635764114,0,PPC Not Found,0,http://www.goministampa.com/?provider=google,301,200,205.178.153.6,dns2.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024025039,2018-10-24 02:51:21,470,Go Minis,216681,Go Mini's of Owensboro KY,LIVE,http://gominisowensboro.com,2702282155,2702282155,2702282155,2702282155,2702282155,No DB Paid Number,0,PPC Not Found,0,http://www.gominisowensboro.com/?provider=google,301,200,205.178.153.6,dns3.name-services.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
All Errors,20181024025039,2018-10-24 02:52:04,470,Go Minis,216683,Go Mini's of Evansville IN,LIVE,http://gominisevansville.com,8125730041,8125730041,8125188599,8125188599,8125730041,8125188599,0,PPC Not Found,0,http://www.gominisevansville.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:52:24,470,Go Minis,216684,Go Mini's of Jackson TN,LIVE,http://gominisjackson.com,7313006109,7313006109,7313006109,7313006109,7313006109,No DB Paid Number,0,PPC Not Found,0,http://www.gominisjackson.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:52:44,470,Go Minis,216685,Go Mini's of Bowling Green KY,LIVE,http://gominisbowlinggreen.com,2702820130,2702820130,2702820130,2702820130,2702820130,No DB Paid Number,0,PPC Not Found,0,http://www.gominisbowlinggreen.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:53:04,470,Go Minis,216686,Go Mini's of Nashville TN,LIVE,http://gominisnashville.com,6159881395,6159881395,6159881395,6159881395,6159881395,No DB Paid Number,0,PPC Not Found,0,http://www.gominisnashville.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:53:24,470,Go Minis,216687,Go Mini's of Ventura County CA,LIVE,http://gominisventuracounty.com,8054160166,8054160166,8053282694,8053282694,8054160166,8053282694,0,PPC Not Found,0,http://www.gominisventuracounty.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:53:45,470,Go Minis,216688,Go Mini's of North Los Angeles CA,LIVE,http://gominislosangeles.com,8182455839,8182455839,8182012643,8182012643,8182455839,8182012643,0,PPC Not Found,0,http://www.gominislosangeles.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:54:04,470,Go Minis,216689,Go Mini's of Charleston WV,LIVE,http://gominischarleston.com,3047598216,3047598216,3047598028,3047598028,3047598216,3047598028,0,PPC Not Found,0,http://www.gominischarleston.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:54:24,470,Go Minis,216690,Go Mini's of Boston,LIVE,http://gominiscantonma.com,5082021647,5082021647,5084227394,5084227394,5082021647,5084227394,0,PPC Not Found,0,http://www.gominiscantonma.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:54:44,470,Go Minis,216691,Go Mini's of Santa Barbara County CA,LIVE,http://gominissantabarbaracounty.com,8052425602,8052425602,8052425602,8052425602,8052425602,No DB Paid Number,0,PPC Not Found,0,http://www.gominissantabarbaracounty.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:55:04,470,Go Minis,216692,Go Mini's of Morris & Sussex Co NJ,LIVE,http://gominishamburgnj.com,9734988490,9734988490,9732504430,9732504430,9734988490,9732504430,0,PPC Not Found,0,http://www.gominishamburgnj.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:55:24,470,Go Minis,216693,Go Mini's of Brantford Ontario Canada,LIVE,http://gominisbrantfordon.com,5198400734,5198400734,5198041643,5198041643,5198400734,5198041643,0,PPC Not Found,0,http://www.gominisbrantfordon.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
All Errors,20181024025039,2018-10-24 02:55:45,470,Go Minis,216694,Go Mini's of Albuquerque NM,LIVE,http://gominisalbuquerque.com,5052738018,5052738018,5052738397,5052738397,5052738018,5052738397,0,PPC Not Found,0,http://www.gominisalbuquerque.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
