Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024095301,2018-10-24 09:53:24,127,Icynene Inc.,42579,Ace Insulation Services Inc.,LIVE,http://aceinsulationservices.com,9152095560,9152095560,9152095526,9152095526,9152095560,9152095526,0,PPC Not Found,0,http://www.aceinsulationservices.com/?provider=google,301,200,205.178.153.6,ns19.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024095301,2018-10-24 09:54:04,127,Icynene Inc.,60404,Icynene-LCR Contractors Inc.,LIVE,http://insulatedfw.com,9723827124,9723827124,4692514835,4692514835,9723827124,4692514835,0,PPC Not Found,0,http://www.insulatedfw.com/?provider=google,301,200,205.178.153.6,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024095301,2018-10-24 09:54:23,127,Icynene Inc.,153443,Icynene-Nature's Choice Spray Foam Insulation Co. (Midland Park),LIVE,http://natureschoicesfi.com,2019571079,2019571079,2012124010,2012124010,2019571079,2012124010,0,PPC Not Found,0,http://www.natureschoicesfi.com/?provider=google,301,200,205.178.153.6,ns27.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024095301,2018-10-24 09:54:43,127,Icynene Inc.,177322,Icynene-Advanced Insulation Technology,LIVE,http://onlyfoamgrandrapids.com,6162595569,6162595569,6162582412,6162582412,6162595569,6162582412,0,PPC Not Found,0,http://www.onlyfoamgrandrapids.com/?provider=google,301,200,205.178.153.6,dns2.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024095301,2018-10-24 09:55:03,127,Icynene Inc.,356647,Icynene-LCR Contractors Inc. - ATX Thermal Solutions,LIVE,http://insulateatx.net,5129108429,5129108429,5129108429,5129108429,5129108429,No DB Paid Number,0,PPC Not Found,0,http://www.insulateatx.net/?provider=google,301,200,205.178.153.6,ns03.domaincontrol.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024095301,2018-10-24 09:53:24,127,Icynene Inc.,42579,Ace Insulation Services Inc.,LIVE,http://aceinsulationservices.com,9152095560,9152095560,9152095526,9152095526,9152095560,9152095526,0,PPC Not Found,0,http://www.aceinsulationservices.com/?provider=google,301,200,205.178.153.6,ns19.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024095301,2018-10-24 09:54:04,127,Icynene Inc.,60404,Icynene-LCR Contractors Inc.,LIVE,http://insulatedfw.com,9723827124,9723827124,4692514835,4692514835,9723827124,4692514835,0,PPC Not Found,0,http://www.insulatedfw.com/?provider=google,301,200,205.178.153.6,ns73.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024095301,2018-10-24 09:54:23,127,Icynene Inc.,153443,Icynene-Nature's Choice Spray Foam Insulation Co. (Midland Park),LIVE,http://natureschoicesfi.com,2019571079,2019571079,2012124010,2012124010,2019571079,2012124010,0,PPC Not Found,0,http://www.natureschoicesfi.com/?provider=google,301,200,205.178.153.6,ns27.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024095301,2018-10-24 09:54:43,127,Icynene Inc.,177322,Icynene-Advanced Insulation Technology,LIVE,http://onlyfoamgrandrapids.com,6162595569,6162595569,6162582412,6162582412,6162595569,6162582412,0,PPC Not Found,0,http://www.onlyfoamgrandrapids.com/?provider=google,301,200,205.178.153.6,dns2.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024095301,2018-10-24 09:55:03,127,Icynene Inc.,356647,Icynene-LCR Contractors Inc. - ATX Thermal Solutions,LIVE,http://insulateatx.net,5129108429,5129108429,5129108429,5129108429,5129108429,No DB Paid Number,0,PPC Not Found,0,http://www.insulateatx.net/?provider=google,301,200,205.178.153.6,ns03.domaincontrol.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
