Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024071123,2018-10-24 07:14:52,628,Insty-Prints,331404,Insty-Prints Faribault,LIVE,http://instyprints.com/locations/faribault-mn/,5073326727,5073326727,8882832938,8882832938,5072912849,8882832938,1,PPC Not Found,0,https://www.instyprints.com/locations/faribault-mn/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024071123,2018-10-24 07:16:35,628,Insty-Prints,331421,Insty-Prints Columbia Heights,LIVE,http://instyprints.com/locations/columbia_heights-mn/,7635713511,7635713511,7633085354,7633085354,7632103874,7633085354,1,PPC Not Found,0,https://www.instyprints.com/locations/columbia_heights-mn/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024071123,2018-10-24 07:17:16,628,Insty-Prints,331426,Insty-Prints Austin,LIVE,http://instyprints.com/locations/austin-tx/,5124479001,5124479001,5124102594,5124102594,5128936500,5124102594,1,PPC Not Found,0,https://www.instyprints.com/locations/austin-tx/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024071123,2018-10-24 07:18:58,628,Insty-Prints,331428,Insty-Prints Owatonna,LIVE,http://instyprints.com/locations/owatonna-mn/,5074516004,5074516004,8888360884,8888360884,5072001943,8888360884,1,PPC Not Found,0,https://www.instyprints.com/locations/owatonna-mn/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024071123,2018-10-24 07:19:39,628,Insty-Prints,343470,Insty-Prints Corporate Shell,LIVE,http://instyprints.com,7162619401,7162619401,0,0,2486972435,No DB Paid Number,0,PPC Not Found,0,https://www.instyprints.com/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024071123,2018-10-24 07:20:00,628,Insty-Prints,347363,Insty Prints PROD Test Account,LIVE,http://None,0,0,0,0,8886899237,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if domain is in YL,20181024071123,2018-10-24 07:20:00,628,Insty-Prints,347363,Insty Prints PROD Test Account,LIVE,http://None,0,0,0,0,8886899237,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024071123,2018-10-24 07:20:00,628,Insty-Prints,347363,Insty Prints PROD Test Account,LIVE,http://None,0,0,0,0,8886899237,No DB Paid Number,0,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024071123,2018-10-24 07:14:52,628,Insty-Prints,331404,Insty-Prints Faribault,LIVE,http://instyprints.com/locations/faribault-mn/,5073326727,5073326727,8882832938,8882832938,5072912849,8882832938,1,PPC Not Found,0,https://www.instyprints.com/locations/faribault-mn/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024071123,2018-10-24 07:16:35,628,Insty-Prints,331421,Insty-Prints Columbia Heights,LIVE,http://instyprints.com/locations/columbia_heights-mn/,7635713511,7635713511,7633085354,7633085354,7632103874,7633085354,1,PPC Not Found,0,https://www.instyprints.com/locations/columbia_heights-mn/?provider=google,301,200,209.17.116.160,pdns07.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
