Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024104902,2018-10-24 10:49:04,472,Maaco,60027,Maaco Collision Repair & Auto Painting of Dothan AL (#12005),LIVE,http://maacodothan12005.com,0,0,0,0,3345260084,No DB Paid Number,0,PPC Not Found,0,http://maacodothan12005.com/?provider=google,200,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
All Errors,20181024104902,2018-10-24 10:49:24,472,Maaco,211105,Maaco Collision Repair & Auto Painting of Nashville TN (#12026),LIVE,http://maaconashville12026.com,0,0,0,0,6152085853,6152195522,0,PPC Not Found,0,http://maaconashville12026.com/?provider=google,200,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
All Errors,20181024104902,2018-10-24 10:49:42,472,Maaco,278678,Maaco Test Email Test Account,LIVE,http://dormstormersmarketpage.com,8885469753,8885469753,8885469753,8885469753,8885469753,No DB Paid Number,0,PPC Not Found,0,http://www.dormstormersmarketpage.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024104902,2018-10-24 10:49:04,472,Maaco,60027,Maaco Collision Repair & Auto Painting of Dothan AL (#12005),LIVE,http://maacodothan12005.com,0,0,0,0,3345260084,No DB Paid Number,0,PPC Not Found,0,http://maacodothan12005.com/?provider=google,200,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024104902,2018-10-24 10:49:24,472,Maaco,211105,Maaco Collision Repair & Auto Painting of Nashville TN (#12026),LIVE,http://maaconashville12026.com,0,0,0,0,6152085853,6152195522,0,PPC Not Found,0,http://maaconashville12026.com/?provider=google,200,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024104902,2018-10-24 10:49:04,472,Maaco,60027,Maaco Collision Repair & Auto Painting of Dothan AL (#12005),LIVE,http://maacodothan12005.com,0,0,0,0,3345260084,No DB Paid Number,0,PPC Not Found,0,http://maacodothan12005.com/?provider=google,200,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024104902,2018-10-24 10:49:24,472,Maaco,211105,Maaco Collision Repair & Auto Painting of Nashville TN (#12026),LIVE,http://maaconashville12026.com,0,0,0,0,6152085853,6152195522,0,PPC Not Found,0,http://maaconashville12026.com/?provider=google,200,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check if SSL is enabled,20181024104902,2018-10-24 10:49:04,472,Maaco,60027,Maaco Collision Repair & Auto Painting of Dothan AL (#12005),LIVE,http://maacodothan12005.com,0,0,0,0,3345260084,No DB Paid Number,0,PPC Not Found,0,http://maacodothan12005.com/?provider=google,200,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check if SSL is enabled,20181024104902,2018-10-24 10:49:24,472,Maaco,211105,Maaco Collision Repair & Auto Painting of Nashville TN (#12026),LIVE,http://maaconashville12026.com,0,0,0,0,6152085853,6152195522,0,PPC Not Found,0,http://maaconashville12026.com/?provider=google,200,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Check if SSL is enabled,20181024104902,2018-10-24 10:49:42,472,Maaco,278678,Maaco Test Email Test Account,LIVE,http://dormstormersmarketpage.com,8885469753,8885469753,8885469753,8885469753,8885469753,No DB Paid Number,0,PPC Not Found,0,http://www.dormstormersmarketpage.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
Provision SSL,20181024104902,2018-10-24 10:49:04,472,Maaco,60027,Maaco Collision Repair & Auto Painting of Dothan AL (#12005),LIVE,http://maacodothan12005.com,0,0,0,0,3345260084,No DB Paid Number,0,PPC Not Found,0,http://maacodothan12005.com/?provider=google,200,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Provision SSL,20181024104902,2018-10-24 10:49:24,472,Maaco,211105,Maaco Collision Repair & Auto Painting of Nashville TN (#12026),LIVE,http://maaconashville12026.com,0,0,0,0,6152085853,6152195522,0,PPC Not Found,0,http://maaconashville12026.com/?provider=google,200,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,
Provision SSL,20181024104902,2018-10-24 10:49:42,472,Maaco,278678,Maaco Test Email Test Account,LIVE,http://dormstormersmarketpage.com,8885469753,8885469753,8885469753,8885469753,8885469753,No DB Paid Number,0,PPC Not Found,0,http://www.dormstormersmarketpage.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
