Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181023234859,2018-10-23 23:50:14,198,Massage Heights,327652,Massage Heights - Conroe Plaza,LIVE,http://massageheights.com/locations/tx/houston-tx/conroe-plaza,0,0,0,0,9362352966,9362022071,0,PPC Not Found,0,https://www.massageheights.com/locations/,301,200,104.25.109.25,brad.ns.cloudflare.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:50:36,198,Massage Heights,327811,Massage Heights - Sacramento,LIVE,http://massageheights.com/locations/ca/sacramento-ca/arden,0,0,0,0,9168001978,9162296854,0,PPC Not Found,0,https://www.massageheights.com/locations/ca/sacramento-ca/arden?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181023234859,2018-10-23 23:51:45,198,Massage Heights,328138,Massage Heights - Gunbarrel Road (Shops at Atrium),LIVE,http://massageheights.com/locations/tn/chattanooga-tn/gunbarrel-road,4239330200,4239330200,4239330200,4239330200,4238008451,4235098666,0,PPC Not Found,0,https://www.massageheights.com/locations/tn/chattanooga-tn/gunbarrel-road?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:52:08,198,Massage Heights,328193,Massage Heights - Edgewood,LIVE,http://massageheights.com/locations/ia/cedar-rapids-coralville-ia/edgewood,3197746397,3197746397,3197746397,3197746397,3195311359,3194238386,0,PPC Not Found,0,https://www.massageheights.com/locations/ia/cedar-rapids-coralville-ia/edgewood?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:53:41,198,Massage Heights,328252,Massage Heights - River Oaks,LIVE,http://massageheights.com/locations/tx/houston-tx/river-oaks,0,0,2814071526,2814071526,No DB Unpaid Number,2814071526,false,PPC Not Found,0,https://www.massageheights.com/locations/tx/houston-tx/river-oaks?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181023234859,2018-10-23 23:54:31,198,Massage Heights,328254,Massage Heights - Lakepoint at Sugarland,LIVE,http://massageheights.com/locations/tx/houston-tx/lakepoint-at-sugarland,8325326870,8325326870,0,0,8325326870,8325326863,0,PPC Not Found,0,https://www.massageheights.com/locations/tx/houston-tx/lakepoint-at-sugarland?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:55:41,198,Massage Heights,328257,Massage Heights - Shadow Creek,LIVE,http://massageheights.com/locations/tx/houston-tx/shadow-creek,8327794410,8327794410,0,0,8327794410,2818109491,0,PPC Not Found,0,https://www.massageheights.com/locations/tx/houston-tx/shadow-creek?provider=google,301,200,104.25.109.25,brad.ns.cloudflare.com.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:56:04,198,Massage Heights,328259,Massage Heights - Sandy Springs (Abernathy Square),LIVE,http://massageheights.com/locations/ga/atlanta-ga/sandy-springs,4047058955,4047058955,4047058955,4047058955,6789734432,4702400499,0,PPC Not Found,0,https://www.massageheights.com/locations/ga/atlanta-ga/sandy-springs?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:57:16,198,Massage Heights,328266,Massage Heights - Leawood Parkway Plaza,LIVE,http://massageheights.com/locations/ks-mo/kansas-city/leawood-parkway-plaza,9136600099,9136600099,9136600099,9136600099,9137170732,9132130336,0,PPC Not Found,0,https://www.massageheights.com/locations/ks-mo/kansas-city/leawood-parkway-plaza?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,no,yes,no,no,
All Errors,20181023234859,2018-10-23 23:59:40,198,Massage Heights,328289,Massage Heights - Newport Beach - South Irvine (The Bluffs),LIVE,http://massageheights.com/locations/ca/orange-county-ca/newport-beach-south-irvine#,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,https://www.massageheights.com/locations/ca/orange-county-ca/newport-beach-south-irvine#?provider=google,301,200,104.25.108.25,brad.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
