Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024021445,2018-10-24 02:14:47,528,Miracle Method Surface Refinishing,234864,Miracle Method of Alameda/Contra Costa,LIVE,http://miraclemethod.com/alameda-contra-costa,8884751393,8884751393,8884751393,8884751393,9252700717,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/alameda-contra-costa?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:15:09,528,Miracle Method Surface Refinishing,234867,Miracle Method of Atlanta North West,LIVE,http://miraclemethod.com/atlanta-nw,8885456516,8885456516,6783227301,6783227301,6782732739,6783227301,0,PPC Not Found,0,https://www.miraclemethod.com/atlanta-nw?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:15:29,528,Miracle Method Surface Refinishing,234869,Miracle Method of Atlanta South,LIVE,http://miraclemethod.com/atlanta-south,6782288783,6782288783,6782718510,6782718510,8883430681,6782718510,0,PPC Not Found,0,https://www.miraclemethod.com/atlanta-south?provider=google,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:15:49,528,Miracle Method Surface Refinishing,234877,Miracle Method of the Golden Triangle,LIVE,http://miraclemethod.com/golden-triangle,8884921693,8884921693,8884019896,8884019896,4092337825,8884019896,0,PPC Not Found,0,https://www.miraclemethod.com/golden-triangle?provider=google,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:17:48,528,Miracle Method Surface Refinishing,234894,Miracle Method of Brampton,LIVE,http://miraclemethod.com/brampton,2892012349,2892012349,2892012349,2892012349,8887386702,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/brampton?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:18:07,528,Miracle Method Surface Refinishing,234895,Miracle Method of Burbank,LIVE,http://miraclemethod.com/burbank,8885146998,8885146998,8885146998,8885146998,8182757740,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/burbank?provider=google,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:18:26,528,Miracle Method Surface Refinishing,234898,Miracle Method of Central New Hampshire,LIVE,http://miraclemethod.com/central-new-hampshire,8884248414,8884248414,8884248414,8884248414,6036784314,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/central-new-hampshire?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:18:46,528,Miracle Method Surface Refinishing,234944,Miracle Method of Charleston,LIVE,http://miraclemethod.com/charleston-north,8888984443,8888984443,8887166540,8887166540,8432530559,8887166540,0,PPC Not Found,0,https://www.miraclemethod.com/charleston-north?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:19:46,528,Miracle Method Surface Refinishing,234966,Miracle Method of Worcester,LIVE,http://miraclemethod.com/worcester,9785716261,9785716261,9785716261,9785716261,8886352166,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/worcester?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024021445,2018-10-24 02:20:07,528,Miracle Method Surface Refinishing,234968,Miracle Method of Chattanooga,LIVE,http://miraclemethod.com/chattanooga,8883641630,8883641630,8883641630,8883641630,4238006886,No DB Paid Number,0,PPC Not Found,0,https://www.miraclemethod.com/chattanooga?provider=google,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
