Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024090500,2018-10-24 09:05:23,113,Mister Sparky,52464,Mister Sparky of Oceanside NY,LIVE,http://mrsparky-nassau.com,5162084520,5162084520,5162063603,5162063603,5164068185,5162063603,1,PPC Not Found,2,https://www.mrsparky-nassau.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
All Errors,20181024090500,2018-10-24 09:05:43,113,Mister Sparky,84372,Mister Sparkyof Tempe AZ,LIVE,http://ontimeelectricians.com,6029046842,6029046842,6029046842,6029046842,4804008557,No DB Paid Number,0,PPC Not Found,0,http://ontimeelectricians.com/?provider=google,200,200,69.167.186.213,ns1.cybermark.net.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024090500,2018-10-24 09:06:05,113,Mister Sparky,84693,Mister Sparkyof Jefferson Twp PA,LIVE,http://mistersparkyscranton.com,5702304294,5702304294,5702304294,5702304294,5702304294,No DB Paid Number,0,PPC Not Found,0,http://www.mistersparkyscranton.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
All Errors,20181024090500,2018-10-24 09:06:24,113,Mister Sparky,124109,Mister Sparkyof Beaverton OR,LIVE,http://mistersparkybeaverton.com,5038627073,5038627073,5034687927,5034687927,5038627073,5034687927,0,PPC Not Found,0,http://www.mistersparkybeaverton.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024090500,2018-10-24 09:06:43,113,Mister Sparky,127163,Mister Sparkyof Toledo OH,LIVE,http://mistersparkytoledo.com,4198276134,4198276134,4199316043,4199316043,4198276134,4199540105,0,PPC Not Found,0,http://www.mistersparkytoledo.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
All Errors,20181024090500,2018-10-24 09:07:03,113,Mister Sparky,134595,Mister Sparky of Virginia Beach VA,LIVE,http://mistersparkyvabeach.com,7572092188,7572092188,7572092342,7572092342,7572092188,7572092342,0,PPC Not Found,0,http://www.mistersparkyvabeach.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024090500,2018-10-24 09:07:44,113,Mister Sparky,208019,Mister Sparky of Seattle WA,LIVE,http://mistersparky-seattle.com,2065128406,2065128406,2063169879,2063169879,2065128406,2063169879,0,PPC Not Found,0,http://www.mistersparky-seattle.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
All Errors,20181024090500,2018-10-24 09:08:04,113,Mister Sparky,251950,Mister Sparky of Oak Hall VA,LIVE,http://mistersparkyeasternshore.com,8886809120,8886809120,8884145957,8884145957,8886809120,8884145957,0,PPC Not Found,0,http://www.mistersparkyeasternshore.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024090500,2018-10-24 09:05:23,113,Mister Sparky,52464,Mister Sparky of Oceanside NY,LIVE,http://mrsparky-nassau.com,5162084520,5162084520,5162063603,5162063603,5164068185,5162063603,1,PPC Not Found,2,https://www.mrsparky-nassau.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024090500,2018-10-24 09:05:43,113,Mister Sparky,84372,Mister Sparkyof Tempe AZ,LIVE,http://ontimeelectricians.com,6029046842,6029046842,6029046842,6029046842,4804008557,No DB Paid Number,0,PPC Not Found,0,http://ontimeelectricians.com/?provider=google,200,200,69.167.186.213,ns1.cybermark.net.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024090500,2018-10-24 09:05:23,113,Mister Sparky,52464,Mister Sparky of Oceanside NY,LIVE,http://mrsparky-nassau.com,5162084520,5162084520,5162063603,5162063603,5164068185,5162063603,1,PPC Not Found,2,https://www.mrsparky-nassau.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
