Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024061901,2018-10-24 06:19:03,208,Senior Helpers,8059,Senior Helpers - Spokane,LIVE,http://seniorhelpers.com/spokane,5095901451,5095901451,5095901768,5095901768,No DB Unpaid Number,5095901768,false,PPC Not Found,0,https://www.seniorhelpers.com/spokane?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:19:25,208,Senior Helpers,8110,Senior Helpers - San Luis Obispo,LIVE,http://seniorhelpers.com/sanluisobispo,8055392076,8055392076,8052425701,8052425701,No DB Unpaid Number,8052425701,false,PPC Not Found,0,https://www.seniorhelpers.com/sanluisobispo?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:19:47,208,Senior Helpers,9783,Senior Helpers - Contra Costa,LIVE,http://seniorhelpers.com/contracosta,9252680668,9252680668,9252350648,9252350648,No DB Unpaid Number,9252350648,false,PPC Not Found,0,https://www.seniorhelpers.com/contracosta?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:20:08,208,Senior Helpers,10256,Senior Helpers - Salem,LIVE,http://seniorhelpers.com/salem,0,0,5033089743,5033089743,No DB Unpaid Number,5033089743,false,PPC Not Found,0,https://www.seniorhelpers.com/salem?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:20:30,208,Senior Helpers,10298,Senior Helpers - Louisville,LIVE,http://seniorhelpers.com/louisville,5022551162,5022551162,8883921017,8883921017,No DB Unpaid Number,8883921017,false,PPC Not Found,0,https://www.seniorhelpers.com/louisville?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:20:51,208,Senior Helpers,10564,Senior Helpers - Yardley PA,LIVE,http://seniorhelpers.com/yardleypa,2156082440,2156082440,2674272968,2674272968,No DB Unpaid Number,2674272968,false,PPC Not Found,0,https://www.seniorhelpers.com/yardleypa?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:21:12,208,Senior Helpers,10689,Senior Helpers - South Metro Atlanta,LIVE,http://seniorhelpers.com/southmetroatlanta,0,0,6782718929,6782718929,No DB Unpaid Number,6782718929,false,PPC Not Found,0,https://www.seniorhelpers.com/southmetroatlanta?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:21:34,208,Senior Helpers,11280,Senior Helpers - Central Long Island,LIVE,http://seniorhelpers.com/centrallongisland-ny/,5164471314,5164471314,5162409746,5162409746,No DB Unpaid Number,5162409746,false,PPC Not Found,0,https://www.seniorhelpers.com/centrallongisland-ny/?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:21:56,208,Senior Helpers,14960,Senior Helpers - Dayton,LIVE,http://seniorhelpers.com/dayton,9372491156,9372491156,9376609959,9376609959,No DB Unpaid Number,9376609959,false,PPC Not Found,0,https://www.seniorhelpers.com/dayton?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:22:17,208,Senior Helpers,15856,Senior Helpers - Venice,LIVE,http://seniorhelpers.com/venice,9412756704,9412756704,9412756720,9412756720,No DB Unpaid Number,9412756720,false,PPC Not Found,0,https://www.seniorhelpers.com/venice?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024061901,2018-10-24 06:22:39,208,Senior Helpers,20740,Senior Helpers - Tucson,LIVE,http://seniorhelpers.com/tucson,5202651389,5202651389,5203294679,5203294679,No DB Unpaid Number,5203294679,false,PPC Not Found,0,https://www.seniorhelpers.com/tucson?provider=google,301,200,67.207.154.79,ns77.domaincontrol.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
