Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024084527,2018-10-24 08:47:17,763,Skoah Franchising Inc,337185,Skoah - Kensington,LIVE,http://skoah.com/locations/kensington/,5873155407,5873155407,0,0,5873155407,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/kensington/?provider=google,301,200,23.227.38.32,ns53.worldnic.com.,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:47:38,763,Skoah Franchising Inc,337186,Skoah - Lower Lonsdale,LIVE,http://skoah.com/locations/lower-lonsdale/,0,0,0,0,6042107781,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/lower-lonsdale/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:47:55,763,Skoah Franchising Inc,337187,Skoah - Metrotown,LIVE,http://skoah.com/locations/metrotown/,0,0,0,0,6049014780,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/metrotown/?provider=google,430,430,23.227.38.32,ns53.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:48:12,763,Skoah Franchising Inc,337188,Skoah - Oakville,LIVE,http://skoah.com/locations/oakville/,0,0,0,0,2898136815,2898130036,0,PPC Not Found,0,http://skoah.com/locations/oakville/?provider=google,430,430,23.227.38.32,ns53.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:48:29,763,Skoah Franchising Inc,337189,Skoah - Park Royal,LIVE,http://skoah.com/locations/park-royal/,0,0,0,0,6042291909,6042291982,0,PPC Not Found,0,http://skoah.com/locations/park-royal/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:48:45,763,Skoah Franchising Inc,337190,Skoah - Morgan Crossing,LIVE,http://skoah.com/locations/morgan-crossing/,0,0,0,0,6042007806,6042439915,0,PPC Not Found,0,http://skoah.com/locations/morgan-crossing/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:49:02,763,Skoah Franchising Inc,337194,Skoah - Capitol Hill,LIVE,http://skoah.com/locations/capitol-hill/,0,0,0,0,2063882175,2062090578,0,PPC Not Found,0,http://skoah.com/locations/capitol-hill/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024084527,2018-10-24 08:49:19,763,Skoah Franchising Inc,354264,Skoah - South End,LIVE,http://skoah.com/locations/south-end/,0,0,0,0,8577022409,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/south-end/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:47:38,763,Skoah Franchising Inc,337186,Skoah - Lower Lonsdale,LIVE,http://skoah.com/locations/lower-lonsdale/,0,0,0,0,6042107781,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/lower-lonsdale/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:47:55,763,Skoah Franchising Inc,337187,Skoah - Metrotown,LIVE,http://skoah.com/locations/metrotown/,0,0,0,0,6049014780,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/metrotown/?provider=google,430,430,23.227.38.32,ns53.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:48:12,763,Skoah Franchising Inc,337188,Skoah - Oakville,LIVE,http://skoah.com/locations/oakville/,0,0,0,0,2898136815,2898130036,0,PPC Not Found,0,http://skoah.com/locations/oakville/?provider=google,430,430,23.227.38.32,ns53.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:48:29,763,Skoah Franchising Inc,337189,Skoah - Park Royal,LIVE,http://skoah.com/locations/park-royal/,0,0,0,0,6042291909,6042291982,0,PPC Not Found,0,http://skoah.com/locations/park-royal/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:48:45,763,Skoah Franchising Inc,337190,Skoah - Morgan Crossing,LIVE,http://skoah.com/locations/morgan-crossing/,0,0,0,0,6042007806,6042439915,0,PPC Not Found,0,http://skoah.com/locations/morgan-crossing/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:49:02,763,Skoah Franchising Inc,337194,Skoah - Capitol Hill,LIVE,http://skoah.com/locations/capitol-hill/,0,0,0,0,2063882175,2062090578,0,PPC Not Found,0,http://skoah.com/locations/capitol-hill/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024084527,2018-10-24 08:49:19,763,Skoah Franchising Inc,354264,Skoah - South End,LIVE,http://skoah.com/locations/south-end/,0,0,0,0,8577022409,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/south-end/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024084527,2018-10-24 08:47:38,763,Skoah Franchising Inc,337186,Skoah - Lower Lonsdale,LIVE,http://skoah.com/locations/lower-lonsdale/,0,0,0,0,6042107781,No DB Paid Number,0,PPC Not Found,0,http://skoah.com/locations/lower-lonsdale/?provider=google,430,430,23.227.38.32,ns54.worldnic.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
