Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024035344,2018-10-24 03:58:07,143,Stratus Building Solutions,329665,Stratus Building Solutions of Colorado Springs,LIVE,http://stratusofcoloradosprings.com,0,0,0,0,7193014308,7199004002,0,PPC Not Found,2,https://www.stratusofcoloradosprings.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
All Errors,20181024035344,2018-10-24 04:01:21,143,Stratus Building Solutions,329677,Stratus Building Solutions of Long Island,LIVE,http://stratusoflongisland.com,5169865200,6313936560,6312705076,6313936560,5169865200,6312705076,0,PPC Not Found,2,https://www.stratusoflongisland.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,
All Errors,20181024035344,2018-10-24 04:04:39,143,Stratus Building Solutions,342145,Stratus Master Frandev Calgary Shell,LIVE,http://stratusclean.com/industry-leading-master-franchise-opportunity/182,5873159594,5873159594,5873159594,5873159594,8883663901,No DB Paid Number,0,PPC Not Found,0,https://www.stratusclean.com/industry-leading-master-franchise-opportunity/182?provider=google,301,200,67.227.185.33,ns2.hover.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
All Errors,20181024035344,2018-10-24 04:10:11,143,Stratus Building Solutions,361918,Stratus Building Solutions of Central Maryland,LIVE,http://stratusofbaltimore.com,0,0,0,0,4108554806,No DB Paid Number,0,PPC Not Found,2,https://www.stratusofbaltimore.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
All Errors,20181024035344,2018-10-24 04:10:31,143,Stratus Building Solutions,361938,Stratus Building Solutions of Toledo,LIVE,http://stratusoftoledo.com,0,0,0,0,4195207438,No DB Paid Number,0,PPC Not Found,2,https://www.stratusoftoledo.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
Check unpaid desktop CTN,20181024035344,2018-10-24 03:58:07,143,Stratus Building Solutions,329665,Stratus Building Solutions of Colorado Springs,LIVE,http://stratusofcoloradosprings.com,0,0,0,0,7193014308,7199004002,0,PPC Not Found,2,https://www.stratusofcoloradosprings.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
Check unpaid desktop CTN,20181024035344,2018-10-24 04:04:39,143,Stratus Building Solutions,342145,Stratus Master Frandev Calgary Shell,LIVE,http://stratusclean.com/industry-leading-master-franchise-opportunity/182,5873159594,5873159594,5873159594,5873159594,8883663901,No DB Paid Number,0,PPC Not Found,0,https://www.stratusclean.com/industry-leading-master-franchise-opportunity/182?provider=google,301,200,67.227.185.33,ns2.hover.com.,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024035344,2018-10-24 04:10:11,143,Stratus Building Solutions,361918,Stratus Building Solutions of Central Maryland,LIVE,http://stratusofbaltimore.com,0,0,0,0,4108554806,No DB Paid Number,0,PPC Not Found,2,https://www.stratusofbaltimore.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
Check unpaid desktop CTN,20181024035344,2018-10-24 04:10:31,143,Stratus Building Solutions,361938,Stratus Building Solutions of Toledo,LIVE,http://stratusoftoledo.com,0,0,0,0,4195207438,No DB Paid Number,0,PPC Not Found,2,https://www.stratusoftoledo.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
Check unpaid mobile CTN,20181024035344,2018-10-24 03:58:07,143,Stratus Building Solutions,329665,Stratus Building Solutions of Colorado Springs,LIVE,http://stratusofcoloradosprings.com,0,0,0,0,7193014308,7199004002,0,PPC Not Found,2,https://www.stratusofcoloradosprings.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,
