Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024032532,2018-10-24 03:25:34,274,Sunstate Equipment Co.,136626,Sunstate Equipment - Anaheim CA Market,LIVE,http://anaheimequipmentrental.com,0,0,0,0,7148884773,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/anaheim/,301,404,184.168.221.18,ns63.domaincontrol.com.,yes,no,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:25:57,274,Sunstate Equipment Co.,136627,Sunstate Equipment - Austin TX Market,LIVE,http://equipmentrentalaustin.com,5122381555,5122381555,0,0,5122534791,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/austin/,301,200,206.196.144.57,nameserver2.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:26:22,274,Sunstate Equipment Co.,136628,Sunstate Equipment - Phoenix AZ Market,LIVE,http://rentalequipmentphoenix.com,6022750601,6022750601,6022750601,6022750601,8885574789,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/branch/phoenix,301,200,206.196.144.57,nameserver1.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:26:48,274,Sunstate Equipment Co.,136629,Sunstate Equipment - Fremont CA Market,LIVE,http://fremontequipmentrental.com,5106232828,5106232828,0,0,5108549389,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/san-francisco/,301,200,206.196.144.57,nameserver1.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:27:13,274,Sunstate Equipment Co.,136630,Sunstate Equipment - Dallas TX Market,LIVE,http://dallasrentalequipment.com,0,0,0,0,8882902024,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/dallas-fort-worth/,301,200,206.196.144.57,nameserver1.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:27:38,274,Sunstate Equipment Co.,136631,Sunstate Equipment - Houston TX Market,LIVE,http://houstontxequipmentrentals.com,0,0,0,0,2815730340,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/houston/,301,200,206.196.144.57,nameserver1.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:28:03,274,Sunstate Equipment Co.,136632,Sunstate Equipment - Denver CO Market,LIVE,http://commercecityequipmentrental.com,7203227000,7203227000,0,0,7207735223,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/denver/,301,200,206.196.144.57,nameserver2.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:28:29,274,Sunstate Equipment Co.,136633,Sunstate Equipment - Bryan College Station,LIVE,http://equipmentrentalbryan.com,0,0,0,0,9792128489,No DB Paid Number,0,PPC Not Found,2,https://equipmentrentalbryan.com/?provider=google,301,404,209.17.116.160,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,
All Errors,20181024032532,2018-10-24 03:28:47,274,Sunstate Equipment Co.,136634,Sunstate Equipment - Casa Grande,LIVE,http://casagrandeequipmentrental.com,6022750601,6022750601,0,0,5202001033,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/pages/pagenotfounderror.aspx?requestUrl=https://www.sunstateequip.com/branch/phoenix/,301,200,206.196.144.57,nameserver2.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024032532,2018-10-24 03:29:14,274,Sunstate Equipment Co.,136635,Sunstate Equipment - Colorado Springs,LIVE,http://rentalequipmentcosprings.com,7195779750,7195779750,7195779750,7195779750,7192995428,No DB Paid Number,0,PPC Not Found,0,https://www.sunstateequip.com/branch/colorado-springs,301,200,206.196.144.57,nameserver2.sunstateequip.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
