Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024095525,2018-10-24 09:55:26,212,The Little Gym,25068,The Little Gym of Bay Ridge-Bensonhurst  NY,LIVE,http://thelittlegym.com/bayridgebensonhurstny/,7182596878,7182596878,7185146323,7185146323,No DB Unpaid Number,7185146323,false,PPC Not Found,0,https://www.thelittlegym.com/bayridgebensonhurstny/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:56:08,212,The Little Gym,51211,The Little Gym of Perinton-Pittsford NY,LIVE,http://thelittlegym.com/perintonpittsfordny/,0,0,5853101438,5853101438,No DB Unpaid Number,5853101438,false,PPC Not Found,0,https://www.thelittlegym.com/perintonpittsfordny/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:56:45,212,The Little Gym,59796,The Little Gym of Charlotte on Providence NC,LIVE,http://thelittlegym.com/charlotteonprovidencenc/,704)3653838,704)3653838,7048795238,7048795238,No DB Unpaid Number,7048795238,false,PPC Not Found,0,https://www.thelittlegym.com/charlotteonprovidencenc/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:57:22,212,The Little Gym,122501,The Little Gym of Jackson MS,LIVE,http://thelittlegym.com/jacksonms/,0,0,6012020072,6012020072,No DB Unpaid Number,6012020072,false,PPC Not Found,0,https://www.thelittlegym.com/jacksonms/?provider=google,301,200,199.7.215.131,ns38.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:57:57,212,The Little Gym,198141,The Little Gym - Ballantyne,LIVE,http://thelittlegym.com/ballantynenc/,980)2373863,980)2373863,9802221648,9802221648,No DB Unpaid Number,9802221648,false,PPC Not Found,0,https://www.thelittlegym.com/ballantynenc/?provider=google,301,200,199.7.215.131,ns38.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:58:31,212,The Little Gym,335212,The Little Gym of St. John's,LIVE,http://thelittlegym.com/stjohnsnl/,7097547672,7097547672,7097001152,7097001152,No DB Unpaid Number,7097001152,false,PPC Not Found,0,https://www.thelittlegym.com/stjohnsnl/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
All Errors,20181024095525,2018-10-24 09:59:07,212,The Little Gym,343005,The Little Gym of BroomfieldWestminster CO,LIVE,http://thelittle.com/westminsterco/,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,0,http://ww17.thelittle.com/westminsterco/?provider=google,302,200,96.45.83.233,ns1.dnsmadeeasy.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024095525,2018-10-24 09:55:26,212,The Little Gym,25068,The Little Gym of Bay Ridge-Bensonhurst  NY,LIVE,http://thelittlegym.com/bayridgebensonhurstny/,7182596878,7182596878,7185146323,7185146323,No DB Unpaid Number,7185146323,false,PPC Not Found,0,https://www.thelittlegym.com/bayridgebensonhurstny/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024095525,2018-10-24 09:56:08,212,The Little Gym,51211,The Little Gym of Perinton-Pittsford NY,LIVE,http://thelittlegym.com/perintonpittsfordny/,0,0,5853101438,5853101438,No DB Unpaid Number,5853101438,false,PPC Not Found,0,https://www.thelittlegym.com/perintonpittsfordny/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
Check unpaid desktop CTN,20181024095525,2018-10-24 09:56:45,212,The Little Gym,59796,The Little Gym of Charlotte on Providence NC,LIVE,http://thelittlegym.com/charlotteonprovidencenc/,704)3653838,704)3653838,7048795238,7048795238,No DB Unpaid Number,7048795238,false,PPC Not Found,0,https://www.thelittlegym.com/charlotteonprovidencenc/?provider=google,301,200,199.7.215.131,ns37.worldnic.com.,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,
