Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024101243,2018-10-24 10:12:45,384,Vision Source,206168,Vision Source - St. Helena Optometry,LIVE,http://visionsource-sthelena.com,0,0,0,0,7072007380,No DB Paid Number,0,PPC Not Found,0,https://visionsource-sthelena.com/?provider=google,301,200,192.124.249.119,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101243,2018-10-24 10:13:07,384,Vision Source,206173,Vision Source - Watertown SD 1,LIVE,http://visionsource-meiervisualclinic.com,6058822220,6058822220,6058822220,6058822220,6059562835,No DB Paid Number,0,PPC Not Found,0,https://visionsource-meiervisualclinic.com/?provider=google,301,200,192.124.249.20,ns35.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101243,2018-10-24 10:13:26,384,Vision Source,213021,Vision Source - All About Eyecare (Aurora CO),LIVE,http://aaevisionsource.com,0,0,0,0,8885108525,No DB Paid Number,0,PPC Not Found,0,https://aaevisionsource.com/?provider=google,301,200,192.124.249.120,ns63.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101243,2018-10-24 10:13:46,384,Vision Source,214995,Vision Source - McClurg Vision Center (Seymour TN),LIVE,http://visionsource-mcclurgvisioncenter.com,0,0,0,0,8656438141,No DB Paid Number,0,PPC Not Found,0,https://visionsource-mcclurgvisioncenter.com/?provider=google,301,200,192.124.249.162,ns33.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024101243,2018-10-24 10:14:10,384,Vision Source,217014,Vision Source - Vision Source of Bowling Green (Bowling Green KY),LIVE,http://visionsourcebg.com,0,0,0,0,2702827888,No DB Paid Number,0,PPC Not Found,0,http://visionsourcebg.com/?provider=google,200,200,173.203.14.210,ns73.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024101243,2018-10-24 10:14:29,384,Vision Source,219091,Vision Source - Cadillac (Cadillac MI),LIVE,http://advancedoptometry.com,2317753925,2317753925,2317753925,2317753925,8887419335,8882725407,0,PPC Not Found,0,http://advancedoptometry.com/?provider=google,200,200,173.203.14.210,ns65.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024101243,2018-10-24 10:12:45,384,Vision Source,206168,Vision Source - St. Helena Optometry,LIVE,http://visionsource-sthelena.com,0,0,0,0,7072007380,No DB Paid Number,0,PPC Not Found,0,https://visionsource-sthelena.com/?provider=google,301,200,192.124.249.119,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101243,2018-10-24 10:13:07,384,Vision Source,206173,Vision Source - Watertown SD 1,LIVE,http://visionsource-meiervisualclinic.com,6058822220,6058822220,6058822220,6058822220,6059562835,No DB Paid Number,0,PPC Not Found,0,https://visionsource-meiervisualclinic.com/?provider=google,301,200,192.124.249.20,ns35.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101243,2018-10-24 10:13:26,384,Vision Source,213021,Vision Source - All About Eyecare (Aurora CO),LIVE,http://aaevisionsource.com,0,0,0,0,8885108525,No DB Paid Number,0,PPC Not Found,0,https://aaevisionsource.com/?provider=google,301,200,192.124.249.120,ns63.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024101243,2018-10-24 10:13:46,384,Vision Source,214995,Vision Source - McClurg Vision Center (Seymour TN),LIVE,http://visionsource-mcclurgvisioncenter.com,0,0,0,0,8656438141,No DB Paid Number,0,PPC Not Found,0,https://visionsource-mcclurgvisioncenter.com/?provider=google,301,200,192.124.249.162,ns33.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
