URL	Status	Number of redirects	Redirect Chain	Final URL	Final URL IP	Final URL NS	
handandstonelacey.com	301	3	http://handandstonelacey.com/sitemap.xml | https://handandstonelacey.com/sitemap.xml | http://www.handandstonelacey.com/sitemap.xml | 	https://www.handandstonelacey.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonepuyallup.com	301	3	http://handandstonepuyallup.com/sitemap.xml | https://handandstonepuyallup.com/sitemap.xml | http://www.handandstonepuyallup.com/sitemap.xml | 	https://www.handandstonepuyallup.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonevancouver.com	301	3	http://handandstonevancouver.com/sitemap.xml | https://handandstonevancouver.com/sitemap.xml | http://www.handandstonevancouver.com/sitemap.xml | 	https://www.handandstonevancouver.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonekent.com	301	3	http://handandstonekent.com/sitemap.xml | https://handandstonekent.com/sitemap.xml | http://www.handandstonekent.com/sitemap.xml | 	https://www.handandstonekent.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonemillcreek.com	301	3	http://handandstonemillcreek.com/sitemap.xml | https://handandstonemillcreek.com/sitemap.xml | http://www.handandstonemillcreek.com/sitemap.xml | 	https://www.handandstonemillcreek.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonetukwila.com	301	3	http://handandstonetukwila.com/sitemap.xml | https://handandstonetukwila.com/sitemap.xml | http://www.handandstonetukwila.com/sitemap.xml | 	https://www.handandstonetukwila.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonebeaverton.com	301	3	http://handandstonebeaverton.com/sitemap.xml | https://handandstonebeaverton.com/sitemap.xml | http://www.handandstonebeaverton.com/sitemap.xml | 	https://www.handandstonebeaverton.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonehappyvalley.com	301	3	http://handandstonehappyvalley.com/sitemap.xml | https://handandstonehappyvalley.com/sitemap.xml | http://www.handandstonehappyvalley.com/sitemap.xml | 	https://www.handandstonehappyvalley.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonehillsboro.com	301	3	http://handandstonehillsboro.com/sitemap.xml | https://handandstonehillsboro.com/sitemap.xml | http://www.handandstonehillsboro.com/sitemap.xml | 	https://www.handandstonehillsboro.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonegreensboro.com	301	3	http://handandstonegreensboro.com/sitemap.xml | https://handandstonegreensboro.com/sitemap.xml | http://www.handandstonegreensboro.com/sitemap.xml | 	https://www.handandstonegreensboro.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonebrookfield.com	301	1	http://handandstonebrookfield.com/sitemap.xml | 	http://www.handandstonebrookfield.com/sitemap.xml	205.178.153.7	dns3.name-services.com.	
handandstoneftlauderdale.com	301	3	http://handandstoneftlauderdale.com/sitemap.xml | https://handandstoneftlauderdale.com/sitemap.xml | http://www.handandstoneftlauderdale.com/sitemap.xml | 	https://www.handandstoneftlauderdale.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonealgonquin.com	301	3	http://handandstonealgonquin.com/sitemap.xml | https://handandstonealgonquin.com/sitemap.xml | http://www.handandstonealgonquin.com/sitemap.xml | 	https://www.handandstonealgonquin.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonecarolstream.com	301	3	http://handandstonecarolstream.com/sitemap.xml | https://handandstonecarolstream.com/sitemap.xml | http://www.handandstonecarolstream.com/sitemap.xml | 	https://www.handandstonecarolstream.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonegeneva.com	301	3	http://handandstonegeneva.com/sitemap.xml | https://handandstonegeneva.com/sitemap.xml | http://www.handandstonegeneva.com/sitemap.xml | 	https://www.handandstonegeneva.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonekildeer.com	301	3	http://handandstonekildeer.com/sitemap.xml | https://handandstonekildeer.com/sitemap.xml | http://www.handandstonekildeer.com/sitemap.xml | 	https://www.handandstonekildeer.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonerollingmeadows.com	301	3	http://handandstonerollingmeadows.com/sitemap.xml | https://handandstonerollingmeadows.com/sitemap.xml | http://www.handandstonerollingmeadows.com/sitemap.xml | 	https://www.handandstonerollingmeadows.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewheaton.com	301	3	http://handandstonewheaton.com/sitemap.xml | https://handandstonewheaton.com/sitemap.xml | http://www.handandstonewheaton.com/sitemap.xml | 	https://www.handandstonewheaton.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonekendall.com	301	3	http://handandstonekendall.com/sitemap.xml | https://handandstonekendall.com/sitemap.xml | http://www.handandstonekendall.com/sitemap.xml | 	https://www.handandstonekendall.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonesouthmiami.com	301	3	http://handandstonesouthmiami.com/sitemap.xml | https://handandstonesouthmiami.com/sitemap.xml | http://www.handandstonesouthmiami.com/sitemap.xml | 	https://www.handandstonesouthmiami.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonecostamesa.com	301	3	http://handandstonecostamesa.com/sitemap.xml | https://handandstonecostamesa.com/sitemap.xml | http://www.handandstonecostamesa.com/sitemap.xml | 	https://www.handandstonecostamesa.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonehuntingtonbeach.com	301	3	http://handandstonehuntingtonbeach.com/sitemap.xml | https://handandstonehuntingtonbeach.com/sitemap.xml | http://www.handandstonehuntingtonbeach.com/sitemap.xml | 	https://www.handandstonehuntingtonbeach.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonelagunabeach.com	301	3	http://handandstonelagunabeach.com/sitemap.xml | https://handandstonelagunabeach.com/sitemap.xml | http://www.handandstonelagunabeach.com/sitemap.xml | 	https://www.handandstonelagunabeach.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneporterranch.com	301	3	http://handandstoneporterranch.com/sitemap.xml | https://handandstoneporterranch.com/sitemap.xml | http://www.handandstoneporterranch.com/sitemap.xml | 	https://www.handandstoneporterranch.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonetustin.com	301	3	http://handandstonetustin.com/sitemap.xml | https://handandstonetustin.com/sitemap.xml | http://www.handandstonetustin.com/sitemap.xml | 	https://www.handandstonetustin.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonesantamargarita.com	301	3	http://handandstonesantamargarita.com/sitemap.xml | https://handandstonesantamargarita.com/sitemap.xml | http://www.handandstonesantamargarita.com/sitemap.xml | 	https://www.handandstonesantamargarita.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonepoughkeepsie.com	301	1	http://handandstonepoughkeepsie.com/sitemap.xml | 	http://www.handandstonepoughkeepsie.com/sitemap.xml	205.178.153.7	dns1.name-services.com.	
handandstonestonybrookny.com	301	3	http://handandstonestonybrookny.com/sitemap.xml | https://handandstonestonybrookny.com/sitemap.xml | http://www.handandstonestonybrookny.com/sitemap.xml | 	https://www.handandstonestonybrookny.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonepleasanton.com	301	3	http://handandstonepleasanton.com/sitemap.xml | https://handandstonepleasanton.com/sitemap.xml | http://www.handandstonepleasanton.com/sitemap.xml | 	https://www.handandstonepleasanton.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonepiscataway.com	301	3	http://handandstonepiscataway.com/sitemap.xml | https://handandstonepiscataway.com/sitemap.xml | http://www.handandstonepiscataway.com/sitemap.xml | 	https://www.handandstonepiscataway.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonearlington-north.com	301	3	http://handandstonearlington-north.com/sitemap.xml | https://handandstonearlington-north.com/sitemap.xml | http://www.handandstonearlington-north.com/sitemap.xml | 	https://www.handandstonearlington-north.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonearlington-south.com	301	3	http://handandstonearlington-south.com/sitemap.xml | https://handandstonearlington-south.com/sitemap.xml | http://www.handandstonearlington-south.com/sitemap.xml | 	https://www.handandstonearlington-south.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneplymouth.com	301	3	http://handandstoneplymouth.com/sitemap.xml | https://handandstoneplymouth.com/sitemap.xml | http://www.handandstoneplymouth.com/sitemap.xml | 	https://www.handandstoneplymouth.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneeastwindsor.com	301	3	http://handandstoneeastwindsor.com/sitemap.xml | https://handandstoneeastwindsor.com/sitemap.xml | http://www.handandstoneeastwindsor.com/sitemap.xml | 	https://www.handandstoneeastwindsor.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneaberdeen.com	301	3	http://handandstoneaberdeen.com/sitemap.xml | https://handandstoneaberdeen.com/sitemap.xml | http://www.handandstoneaberdeen.com/sitemap.xml | 	https://www.handandstoneaberdeen.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneemerson.com	301	3	http://handandstoneemerson.com/sitemap.xml | https://handandstoneemerson.com/sitemap.xml | http://www.handandstoneemerson.com/sitemap.xml | 	https://www.handandstoneemerson.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneallendale.com	301	3	http://handandstoneallendale.com/sitemap.xml | https://handandstoneallendale.com/sitemap.xml | http://www.handandstoneallendale.com/sitemap.xml | 	https://www.handandstoneallendale.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstone-franklinlakes.com	301	3	http://handandstone-franklinlakes.com/sitemap.xml | https://handandstone-franklinlakes.com/sitemap.xml | http://www.handandstone-franklinlakes.com/sitemap.xml | 	https://www.handandstone-franklinlakes.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneprinceton.com	301	3	http://handandstoneprinceton.com/sitemap.xml | https://handandstoneprinceton.com/sitemap.xml | http://www.handandstoneprinceton.com/sitemap.xml | 	https://www.handandstoneprinceton.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonefrisco.com	301	3	http://handandstonefrisco.com/sitemap.xml | https://handandstonefrisco.com/sitemap.xml | http://www.handandstonefrisco.com/sitemap.xml | 	https://www.handandstonefrisco.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneirving.com	301	3	http://handandstoneirving.com/sitemap.xml | https://handandstoneirving.com/sitemap.xml | http://www.handandstoneirving.com/sitemap.xml | 	https://www.handandstoneirving.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonestpetersburg.com	301	3	http://handandstonestpetersburg.com/sitemap.xml | https://handandstonestpetersburg.com/sitemap.xml | http://www.handandstonestpetersburg.com/sitemap.xml | 	https://www.handandstonestpetersburg.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonemckinney-frisco.com	301	3	http://handandstonemckinney-frisco.com/sitemap.xml | https://handandstonemckinney-frisco.com/sitemap.xml | http://www.handandstonemckinney-frisco.com/sitemap.xml | 	https://www.handandstonemckinney-frisco.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
